country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Sri Lanka,2020,21413249,0.42 %,89516,-97986,34.0,2.21,341,18.4 %,3945488,0.27 %,7794798739,58
Sri Lanka,2019,21323733,0.45 %,94970,-97986,32.6,2.21,340,18.3 %,3906383,0.28 %,7713468100,58
Sri Lanka,2018,21228763,0.48 %,100731,-97986,32.6,2.21,339,18.2 %,3870642,0.28 %,7631091040,58
Sri Lanka,2017,21128032,0.51 %,106861,-97986,32.6,2.21,337,18.2 %,3838068,0.28 %,7547858925,58
Sri Lanka,2016,21021171,0.54 %,113144,-97986,32.6,2.21,335,18.1 %,3808409,0.28 %,7464022049,57
Sri Lanka,2015,20908027,0.63 %,129258,-96954,32.3,2.21,333,18.1 %,3781471,0.28 %,7379797139,57
Sri Lanka,2010,20261737,0.72 %,143350,-104013,30.4,2.28,323,18.2 %,3681427,0.29 %,6956823603,59
Sri Lanka,2005,19544988,0.80 %,153477,-89896,29.0,2.26,312,18.3 %,3573620,0.30 %,6541907027,54
Sri Lanka,2000,18777601,0.58 %,106938,-92337,27.6,2.24,299,18.4 %,3452171,0.31 %,6143493823,52
Sri Lanka,1995,18242912,1.04 %,183428,-51156,25.8,2.38,291,18.5 %,3367985,0.32 %,5744212979,49
Sri Lanka,1990,17325773,1.38 %,229899,-27488,24.2,2.64,276,18.5 %,3212099,0.33 %,5327231061,48
Sri Lanka,1985,16176280,1.47 %,228089,-79739,22.8,3.19,258,18.6 %,3011554,0.33 %,4870921740,45
Sri Lanka,1980,15035834,1.80 %,256138,-47500,21.7,3.61,240,18.6 %,2797666,0.34 %,4458003514,43
Sri Lanka,1975,13755146,1.96 %,253881,-29000,20.6,4.00,219,18.1 %,2489237,0.34 %,4079480606,43
Sri Lanka,1970,12485740,2.36 %,274984,-7700,19.6,4.70,199,17.6 %,2197238,0.34 %,3700437046,43
Sri Lanka,1965,11110820,2.39 %,247269,-9500,19.1,5.20,177,17.1 %,1901067,0.33 %,3339583597,45
Sri Lanka,1960,9874476,2.38 %,219208,-15000,19.1,5.80,157,16.4 %,1622519,0.33 %,3034949748,45
Sri Lanka,1955,8778438,1.95 %,161468,-3300,20.0,5.80,140,15.6 %,1373606,0.32 %,2773019936,45
