country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Suriname,2020,586632,0.90 %,5260,-1000,29.0,2.43,4,65.1 %,382175,0.01 %,7794798739,171
Suriname,2019,581372,0.93 %,5382,-1000,28.1,2.53,4,65.2 %,378783,0.01 %,7713468100,171
Suriname,2018,575990,0.96 %,5494,-1000,28.1,2.53,4,65.2 %,375417,0.01 %,7631091040,170
Suriname,2017,570496,0.99 %,5608,-1000,28.1,2.53,4,65.2 %,372076,0.01 %,7547858925,170
Suriname,2016,564888,1.03 %,5745,-1000,28.1,2.53,4,65.3 %,368745,0.01 %,7464022049,170
Suriname,2015,559143,1.11 %,6002,-1000,27.9,2.56,4,65.4 %,365427,0.01 %,7379797139,170
Suriname,2010,529131,1.16 %,5933,-1297,26.7,2.67,3,66.0 %,349037,0.01 %,6956823603,168
Suriname,2005,499464,1.18 %,5703,-1825,25.5,2.83,3,66.6 %,332708,0.01 %,6541907027,167
Suriname,2000,470949,1.28 %,5820,-2038,24.8,2.96,3,66.6 %,313876,0.01 %,6143493823,167
Suriname,1995,441851,1.75 %,7337,-1039,23.6,3.19,3,66.4 %,293195,0.01 %,5744212979,167
Suriname,1990,405168,1.91 %,7306,-969,22.6,3.36,3,66.1 %,267733,0.01 %,5327231061,167
Suriname,1985,368638,0.50 %,1824,-6354,21.4,3.70,2,65.8 %,242695,0.01 %,4870921740,165
Suriname,1980,359519,0.02 %,59,-8070,18.9,4.20,2,65.5 %,235660,0.01 %,4458003514,164
Suriname,1975,359226,-0.48 %,-1741,-11364,16.1,5.29,2,54.3 %,194923,0.01 %,4079480606,161
Suriname,1970,367931,2.27 %,7799,-2772,15.9,5.95,2,46.4 %,170592,0.01 %,3700437046,160
Suriname,1965,328936,2.70 %,8213,-2210,16.2,6.56,2,47.5 %,156305,0.01 %,3339583597,161
Suriname,1960,287871,2.94 %,7774,-1083,16.7,6.56,2,47.6 %,137039,0.01 %,3034949748,161
Suriname,1955,249000,2.98 %,6800,-685,19.0,6.56,2,47.3 %,117726,0.01 %,2773019936,161
