country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tajikistan,2020,9537645,2.32 %,216627,-20000,22.4,3.61,68,27.3 %,2606273,0.12 %,7794798739,95
Tajikistan,2019,9321018,2.42 %,220183,-20000,22.1,3.61,67,27.2 %,2537559,0.12 %,7713468100,96
Tajikistan,2018,9100835,2.48 %,220567,-20000,22.1,3.61,65,27.2 %,2471185,0.12 %,7631091040,96
Tajikistan,2017,8880268,2.50 %,216689,-20000,22.1,3.61,63,27.1 %,2407140,0.12 %,7547858925,96
Tajikistan,2016,8663579,2.48 %,209551,-20000,22.1,3.61,62,27.1 %,2345435,0.12 %,7464022049,98
Tajikistan,2015,8454028,2.35 %,185327,-27395,22.0,3.61,60,27.0 %,2286101,0.11 %,7379797139,98
Tajikistan,2010,7527394,2.09 %,147615,-29158,21.3,3.61,54,26.9 %,2026528,0.11 %,6956823603,98
Tajikistan,2005,6789321,1.78 %,114596,-28988,19.8,3.72,49,26.8 %,1817059,0.10 %,6541907027,98
Tajikistan,2000,6216341,1.52 %,90306,-47451,18.3,4.29,44,26.5 %,1647352,0.10 %,6143493823,98
Tajikistan,1995,5764810,1.76 %,96199,-46460,17.8,4.88,41,28.9 %,1664663,0.10 %,5744212979,97
Tajikistan,1990,5283814,3.09 %,149198,-6302,18.1,5.50,38,31.7 %,1672719,0.10 %,5327231061,99
Tajikistan,1985,4537822,3.05 %,126475,2483,18.4,5.60,32,33.2 %,1508149,0.09 %,4870921740,103
Tajikistan,1980,3905446,2.87 %,102901,4560,18.2,5.90,28,34.3 %,1339141,0.09 %,4458003514,106
Tajikistan,1975,3390941,2.96 %,92167,5607,17.6,6.83,24,35.5 %,1205007,0.08 %,4079480606,106
Tajikistan,1970,2930107,3.33 %,88426,13156,17.1,7.00,21,36.9 %,1080505,0.08 %,3700437046,108
Tajikistan,1965,2487976,3.58 %,80185,10667,18.6,6.80,18,35.2 %,874558,0.07 %,3339583597,117
Tajikistan,1960,2087049,3.07 %,58527,1672,21.6,6.20,15,33.2 %,692233,0.07 %,3034949748,117
Tajikistan,1955,1794416,3.22 %,52583,11672,22.4,5.40,13,31.2 %,560602,0.06 %,2773019936,117
