country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tanzania,2020,59734218,2.98 %,1728755,-40076,18.0,4.92,67,37.0 %,22113353,0.77 %,7794798739,24
Tanzania,2019,58005463,3.00 %,1692025,-40076,17.6,5.17,65,36.2 %,21015391,0.75 %,7713468100,25
Tanzania,2018,56313438,3.02 %,1653099,-40076,17.6,5.17,64,35.4 %,19958545,0.74 %,7631091040,25
Tanzania,2017,54660339,3.04 %,1611109,-40076,17.6,5.17,62,34.7 %,18942828,0.72 %,7547858925,25
Tanzania,2016,53049230,3.04 %,1566597,-40076,17.6,5.17,60,33.9 %,17968436,0.71 %,7464022049,25
Tanzania,2015,51482633,3.03 %,1427222,-50087,17.6,5.24,58,33.1 %,17035213,0.70 %,7379797139,26
Tanzania,2010,44346525,2.89 %,1179241,-100171,17.4,5.58,50,29.2 %,12959969,0.64 %,6956823603,30
Tanzania,2005,38450320,2.80 %,990228,-60105,17.4,5.66,43,25.5 %,9791527,0.59 %,6541907027,31
Tanzania,2000,33499180,2.47 %,770009,-80141,17.4,5.75,38,22.8 %,7624725,0.55 %,6143493823,32
Tanzania,1995,29649135,3.30 %,889058,116819,17.2,6.05,33,20.8 %,6154968,0.52 %,5744212979,32
Tanzania,1990,25203845,3.10 %,714010,13623,17.0,6.36,28,19.1 %,4807840,0.47 %,5327231061,34
Tanzania,1985,21633796,3.14 %,619107,7012,16.9,6.55,24,16.9 %,3661481,0.44 %,4870921740,36
Tanzania,1980,18538259,3.14 %,530606,-5008,16.8,6.73,21,14.7 %,2719241,0.42 %,4458003514,36
Tanzania,1975,15885229,3.25 %,469950,24040,16.8,6.75,18,11.2 %,1781210,0.39 %,4079480606,38
Tanzania,1970,13535481,3.07 %,380130,7212,17.0,6.79,15,7.9 %,1068352,0.37 %,3700437046,38
Tanzania,1965,11634832,2.97 %,316536,5008,17.1,6.80,13,6.1 %,704473,0.35 %,3339583597,46
Tanzania,1960,10052152,2.86 %,264498,2003,17.1,6.80,11,5.3 %,528498,0.33 %,3034949748,42
Tanzania,1955,8729662,2.68 %,215980,2003,17.1,6.74,10,4.4 %,385389,0.31 %,2773019936,46
