country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Thailand,2020,69799978,0.25 %,174396,19444,40.1,1.53,137,51.1 %,35698325,0.90 %,7794798739,20
Thailand,2019,69625582,0.28 %,197129,19444,38.3,1.53,136,50.5 %,35132892,0.90 %,7713468100,20
Thailand,2018,69428453,0.32 %,218643,19444,38.3,1.53,136,49.8 %,34556078,0.91 %,7631091040,20
Thailand,2017,69209810,0.35 %,238502,19444,38.3,1.53,135,49.1 %,33966456,0.92 %,7547858925,20
Thailand,2016,68971308,0.37 %,256797,19444,38.3,1.53,135,48.4 %,33362840,0.92 %,7464022049,20
Thailand,2015,68714511,0.45 %,303897,33463,37.9,1.53,134,47.7 %,32745680,0.93 %,7379797139,20
Thailand,2010,67195028,0.54 %,355768,11802,35.5,1.56,132,43.9 %,29475114,0.97 %,6956823603,19
Thailand,2005,65416189,0.77 %,492709,74749,32.8,1.60,128,37.4 %,24476532,1.00 %,6541907027,19
Thailand,2000,62952642,1.15 %,697074,143166,30.2,1.77,123,31.4 %,19759915,1.02 %,6143493823,19
Thailand,1995,59467274,1.01 %,581818,-121508,26.6,1.99,116,30.3 %,18012031,1.04 %,5744212979,17
Thailand,1990,56558186,1.68 %,906257,100881,24.3,2.30,111,29.4 %,16648721,1.06 %,5327231061,18
Thailand,1985,52026901,1.89 %,930486,67985,21.8,2.95,102,28.1 %,14621264,1.07 %,4870921740,18
Thailand,1980,47374472,2.28 %,1009632,57445,19.7,3.92,93,26.8 %,12695065,1.06 %,4458003514,18
Thailand,1975,42326312,2.79 %,1088355,79114,18.5,5.05,83,23.8 %,10058137,1.04 %,4079480606,18
Thailand,1970,36884536,3.00 %,1012375,0,18.0,5.99,72,20.9 %,7704931,1.00 %,3700437046,18
Thailand,1965,31822660,3.04 %,885091,0,18.3,6.13,62,20.2 %,6434876,0.95 %,3339583597,21
Thailand,1960,27397207,2.93 %,737215,0,18.8,6.14,54,19.7 %,5389651,0.90 %,3034949748,21
Thailand,1955,23711132,2.74 %,600154,0,18.9,6.14,46,18.0 %,4277639,0.86 %,2773019936,21
