country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tokelau,2019,1340,1.59 %,21,134,0 %,0,0.00 %,7713468100,234
Tokelau,2018,1319,1.46 %,19,132,0 %,0,0.00 %,7631091040,234
Tokelau,2017,1300,1.4 %,18,130,0 %,0,0.00 %,7547858925,234
Tokelau,2016,1282,2.4 %,30,128,0 %,0,0 %,7464022049,234
Tokelau,2015,1252,1.89 %,22,125,0 %,0,0 %,7379797139,234
Tokelau,2010,1140,-1.15 %,-14,114,0 %,0,0 %,6956823603,234
Tokelau,2005,1208,-4.91 %,-69,121,0 %,0,0 %,6541907027,234
Tokelau,2000,1554,0.48 %,7,155,0 %,0,0 %,6143493823,234
Tokelau,1995,1517,-1.16 %,-18,152,0 %,0,0 %,5744212979,234
Tokelau,1990,1608,-1.21 %,-20,161,0 %,0,0 %,5327231061,234
Tokelau,1985,1709,1.93 %,31,171,0 %,0,0 %,4870921740,234
Tokelau,1980,1553,-0.24 %,-4,155,0 %,0,0 %,4458003514,234
Tokelau,1975,1572,-0.61 %,-10,157,0 %,0,0 %,4079480606,234
Tokelau,1970,1621,-3.35 %,-60,162,0 %,0,0 %,3700437046,234
Tokelau,1965,1922,0.52 %,10,192,0 %,0,0 %,3339583597,234
Tokelau,1960,1873,3.11 %,53,187,0 %,0,0 %,3034949748,234
Tokelau,1955,1607,0.52 %,8,161,0 %,0,0 %,2773019936,234
