country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tunisia,2020,11818619,1.06 %,123900,-4000,32.8,2.20,76,70.1 %,8280799,0.15 %,7794798739,79
Tunisia,2019,11694719,1.12 %,129518,-4000,31.6,2.24,75,69.8 %,8160285,0.15 %,7713468100,78
Tunisia,2018,11565201,1.15 %,131758,-4000,31.6,2.24,74,69.5 %,8038426,0.15 %,7631091040,77
Tunisia,2017,11433443,1.15 %,129498,-4000,31.6,2.24,74,69.2 %,7915930,0.15 %,7547858925,77
Tunisia,2016,11303945,1.11 %,123996,-4000,31.6,2.24,73,68.9 %,7793657,0.15 %,7464022049,79
Tunisia,2015,11179949,1.00 %,108941,-30000,31.3,2.25,72,68.6 %,7672383,0.15 %,7379797139,79
Tunisia,2010,10635244,1.02 %,105695,-8128,29.3,2.02,68,66.7 %,7092304,0.15 %,6956823603,78
Tunisia,2005,10106771,0.81 %,79684,-28609,27.2,2.04,65,65.2 %,6590593,0.15 %,6541907027,79
Tunisia,2000,9708350,1.25 %,116590,-7961,25.1,2.34,62,63.4 %,6152385,0.16 %,6143493823,80
Tunisia,1995,9125398,2.06 %,176580,28068,23.1,2.98,59,61.4 %,5602764,0.16 %,5744212979,79
Tunisia,1990,8242496,2.38 %,182580,9800,21.3,4.00,53,57.9 %,4770561,0.15 %,5327231061,80
Tunisia,1985,7329594,2.83 %,191111,17116,19.9,4.82,47,53.8 %,3942049,0.15 %,4870921740,80
Tunisia,1980,6374039,2.42 %,143425,-14414,18.6,5.65,41,50.5 %,3220311,0.14 %,4458003514,80
Tunisia,1975,5656914,2.24 %,118621,-19413,17.8,6.39,36,47.6 %,2689901,0.14 %,4079480606,82
Tunisia,1970,5063809,2.17 %,103174,-19305,17.0,6.92,33,43.5 %,2200342,0.14 %,3700437046,82
Tunisia,1965,4547941,1.71 %,73941,-28499,17.5,6.99,29,39.7 %,1805609,0.14 %,3339583597,79
Tunisia,1960,4178236,1.16 %,46939,-38150,18.5,6.85,27,37.5 %,1566577,0.14 %,3034949748,81
Tunisia,1955,3943540,1.81 %,67647,-3733,19.4,6.65,25,35.2 %,1389870,0.14 %,2773019936,79
