country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Turkey,2020,84339067,1.09 %,909452,283922,31.5,2.08,110,75.7 %,63803445,1.08 %,7794798739,17
Turkey,2019,83429615,1.32 %,1089527,283922,30.2,2.11,108,75.2 %,62743912,1.08 %,7713468100,18
Turkey,2018,82340088,1.51 %,1223638,283922,30.2,2.11,107,74.8 %,61554688,1.08 %,7631091040,18
Turkey,2017,81116450,1.61 %,1288579,283922,30.2,2.11,105,74.3 %,60271457,1.07 %,7547858925,18
Turkey,2016,79827871,1.65 %,1298462,283922,30.2,2.11,104,73.8 %,58945516,1.07 %,7464022049,17
Turkey,2015,78529409,1.66 %,1240484,352616,29.9,2.12,102,73.4 %,57616730,1.06 %,7379797139,17
Turkey,2010,72326988,1.27 %,884704,-10000,28.3,2.20,94,70.8 %,51225748,1.04 %,6956823603,18
Turkey,2005,67903469,1.43 %,932655,-8000,26.6,2.37,88,67.8 %,46065593,1.04 %,6541907027,18
Turkey,2000,63240194,1.58 %,950748,-20000,24.9,2.65,82,64.7 %,40942328,1.03 %,6143493823,18
Turkey,1995,58486456,1.64 %,912939,-24000,23.5,2.90,76,62.1 %,36333494,1.02 %,5744212979,18
Turkey,1990,53921760,1.88 %,957565,-20000,22.1,3.39,70,59.2 %,31923032,1.01 %,5327231061,21
Turkey,1985,49133937,2.24 %,1031593,-14000,21.0,4.11,64,52.4 %,25769960,1.01 %,4870921740,21
Turkey,1980,43975971,2.29 %,939743,-52000,20.0,4.69,57,43.8 %,19252765,0.99 %,4458003514,20
Turkey,1975,39277258,2.41 %,880191,-48000,19.6,5.39,51,41.6 %,16333819,0.96 %,4079480606,20
Turkey,1970,34876303,2.40 %,780662,-36000,19.0,5.80,45,38.2 %,13334557,0.94 %,3700437046,20
Turkey,1965,30972994,2.43 %,700130,-30000,19.1,6.20,40,34.2 %,10601023,0.93 %,3339583597,20
Turkey,1960,27472345,2.51 %,640349,-12001,19.4,6.50,36,31.5 %,8657857,0.91 %,3034949748,20
Turkey,1955,24270600,2.54 %,572440,-3800,19.8,6.69,32,28.6 %,6929929,0.88 %,2773019936,20
