country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Tuvalu,2019,11646,1.2 %,138,388,61.8 %,7202,0.00 %,7713468100,225
Tuvalu,2018,11508,1.21 %,138,384,61.2 %,7042,0.00 %,7631091040,226
Tuvalu,2017,11370,1.29 %,145,379,60.6 %,6886,0.00 %,7547858925,226
Tuvalu,2016,11225,1.14 %,126,374,60 %,6730,0 %,7464022049,226
Tuvalu,2015,11099,1.06 %,114,370,59.2 %,6571,0 %,7379797139,226
Tuvalu,2010,10530,1.04 %,106,351,54.8 %,5771,0 %,6956823603,226
Tuvalu,2005,10000,1.26 %,121,333,49.8 %,4983,0 %,6541907027,226
Tuvalu,2000,9394,0.21 %,19,313,46.1 %,4335,0 %,6143493823,227
Tuvalu,1995,9298,0.85 %,77,310,43.6 %,4058,0 %,5744212979,228
Tuvalu,1990,8913,1.63 %,139,297,41.1 %,3661,0 %,5327231061,227
Tuvalu,1985,8219,1.48 %,116,274,36.1 %,2963,0 %,4870921740,227
Tuvalu,1980,7637,4.73 %,315,255,31.4 %,2401,0 %,4458003514,227
Tuvalu,1975,6060,1.11 %,65,202,32.6 %,1978,0 %,4079480606,229
Tuvalu,1970,5735,1.26 %,70,191,28.1 %,1613,0 %,3700437046,227
Tuvalu,1965,5386,0.24 %,13,180,13.8 %,745,0 %,3339583597,226
Tuvalu,1960,5323,0.98 %,51,177,18.2 %,970,0 %,3034949748,226
Tuvalu,1955,5069,1.64 %,79,169,14.7 %,745,0 %,2773019936,226
