country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Uganda,2020,45741007,3.32 %,1471413,168694,16.7,5.01,229,25.7 %,11775012,0.59 %,7794798739,31
Uganda,2019,44269594,3.61 %,1540558,168694,16.1,5.62,222,25.2 %,11135655,0.57 %,7713468100,32
Uganda,2018,42729036,3.80 %,1562448,168694,16.1,5.62,214,24.6 %,10525083,0.56 %,7631091040,33
Uganda,2017,41166588,3.83 %,1517422,168694,16.1,5.62,206,24.2 %,9942312,0.55 %,7547858925,34
Uganda,2016,39649166,3.72 %,1423713,168694,16.1,5.62,198,23.7 %,9386309,0.53 %,7464022049,35
Uganda,2015,38225453,3.34 %,1159457,-59999,15.9,5.78,191,23.2 %,8855831,0.52 %,7379797139,35
Uganda,2010,32428167,3.21 %,948716,-100000,15.4,6.38,162,20.3 %,6573772,0.47 %,6956823603,37
Uganda,2005,27684585,3.20 %,806883,-50000,15.2,6.75,139,17.5 %,4841176,0.42 %,6541907027,39
Uganda,2000,23650172,2.99 %,647404,-36000,15.2,6.95,118,15.0 %,3554371,0.38 %,6143493823,42
Uganda,1995,20413152,3.30 %,611752,22000,15.5,7.06,102,12.9 %,2639817,0.36 %,5744212979,46
Uganda,1990,17354392,3.57 %,559007,40000,15.9,7.10,87,11.1 %,1931504,0.33 %,5327231061,47
Uganda,1985,14559355,3.19 %,423404,-24000,16.3,7.10,73,9.2 %,1340406,0.30 %,4870921740,50
Uganda,1980,12442334,2.99 %,340986,-36000,16.4,7.10,62,7.6 %,945460,0.28 %,4458003514,52
Uganda,1975,10737403,2.68 %,266361,-55222,16.5,7.10,54,7.1 %,762275,0.26 %,4079480606,52
Uganda,1970,9405600,3.33 %,283907,10001,16.5,7.12,47,6.7 %,629441,0.25 %,3700437046,56
Uganda,1965,7986066,3.37 %,243794,25000,16.8,7.05,40,5.5 %,441548,0.24 %,3339583597,65
Uganda,1960,6767095,2.82 %,175660,0,17.1,6.95,34,4.4 %,299817,0.22 %,3034949748,65
Uganda,1955,5888793,2.68 %,146121,0,17.8,6.90,29,3.5 %,208359,0.21 %,2773019936,65
