country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
United Arab Emirates,2020,9890402,1.23 %,119873,40000,32.6,1.42,118,86.4 %,8542144,0.13 %,7794798739,93
United Arab Emirates,2019,9770529,1.45 %,139570,40000,32.6,1.64,117,86.0 %,8402990,0.13 %,7713468100,92
United Arab Emirates,2018,9630959,1.52 %,143756,40000,32.6,1.64,115,85.7 %,8255643,0.13 %,7631091040,93
United Arab Emirates,2017,9487203,1.35 %,126223,40000,32.6,1.64,113,85.5 %,8107436,0.13 %,7547858925,93
United Arab Emirates,2016,9360980,1.06 %,98080,40000,32.6,1.64,112,85.1 %,7968651,0.13 %,7464022049,94
United Arab Emirates,2015,9262900,1.61 %,142582,54000,32.6,1.70,111,84.7 %,7842883,0.13 %,7379797139,94
United Arab Emirates,2010,8549988,13.26 %,792353,718487,31.8,1.97,102,81.3 %,6954593,0.12 %,6956823603,94
United Arab Emirates,2005,4588225,7.92 %,290833,237923,29.7,2.40,55,82.1 %,3767260,0.07 %,6541907027,117
United Arab Emirates,2000,3134062,5.35 %,143794,99679,28.0,2.97,37,80.8 %,2531398,0.05 %,6143493823,130
United Arab Emirates,1995,2415090,5.72 %,117332,73625,27.7,3.93,29,79.4 %,1917885,0.04 %,5744212979,136
United Arab Emirates,1990,1828432,6.00 %,92454,51328,26.6,4.90,22,80.4 %,1470491,0.03 %,5327231061,143
United Arab Emirates,1985,1366164,6.03 %,69331,36832,26.2,5.30,16,81.3 %,1110111,0.03 %,4870921740,146
United Arab Emirates,1980,1019509,13.21 %,94242,74486,26.2,5.75,12,82.5 %,841303,0.02 %,4458003514,148
United Arab Emirates,1975,548301,18.51 %,62757,52098,25.5,6.45,7,80.7 %,442351,0.01 %,4079480606,157
United Arab Emirates,1970,234514,9.37 %,16931,10765,22.8,6.77,3,80.1 %,187928,0.01 %,3700437046,170
United Arab Emirates,1965,149857,10.15 %,11488,7576,20.2,6.87,2,78.0 %,116866,0.00 %,3339583597,182
United Arab Emirates,1960,92418,3.04 %,2568,-35,17.8,6.97,1,73.7 %,68086,0.00 %,3034949748,178
United Arab Emirates,1955,79578,2.72 %,1998,-28,18.4,6.97,1,64.6 %,51385,0.00 %,2773019936,182
