country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
United States,2020,331002651,0.59 %,1937734,954806,38.3,1.78,36,82.8 %,273975139,4.25 %,7794798739,3
United States,2019,329064917,0.60 %,1968652,954806,37.7,1.85,36,82.5 %,271365914,4.27 %,7713468100,3
United States,2018,327096265,0.62 %,2011509,954806,37.7,1.85,36,82.2 %,268786714,4.29 %,7631091040,3
United States,2017,325084756,0.64 %,2068761,954806,37.7,1.85,36,81.9 %,266243516,4.31 %,7547858925,3
United States,2016,323015995,0.67 %,2137685,954806,37.7,1.85,35,81.7 %,263743312,4.33 %,7464022049,3
United States,2015,320878310,0.76 %,2373367,992343,37.6,1.88,35,81.4 %,261287811,4.35 %,7379797139,3
United States,2010,309011475,0.93 %,2803593,1085751,36.9,2.06,34,80.7 %,249297076,4.44 %,6956823603,3
United States,2005,294993511,0.93 %,2656520,1066979,36.1,2.04,32,80.0 %,235892407,4.51 %,6541907027,3
United States,2000,281710909,1.22 %,3309433,1771991,35.2,2.00,31,79.1 %,222927913,4.59 %,6143493823,3
United States,1995,265163745,1.01 %,2608687,892751,34.0,2.03,29,77.4 %,205240402,4.62 %,5744212979,3
United States,1990,252120309,0.95 %,2324097,673371,32.8,1.91,28,75.4 %,190156233,4.73 %,5327231061,3
United States,1985,240499825,0.94 %,2204694,676492,31.4,1.80,26,74.6 %,179400645,4.94 %,4870921740,3
United States,1980,229476354,0.93 %,2079021,754176,30.0,1.77,25,73.8 %,169422683,5.15 %,4458003514,3
United States,1975,219081251,0.90 %,1913582,577869,29.0,2.03,24,73.7 %,161450209,5.37 %,4079480606,3
United States,1970,209513341,0.96 %,1955933,311211,28.4,2.54,23,73.6 %,154262109,5.66 %,3700437046,3
United States,1965,199733676,1.36 %,2602621,367146,28.6,3.23,22,71.9 %,143624659,5.98 %,3339583597,3
United States,1960,186720571,1.69 %,3007047,424979,29.7,3.58,20,70.0 %,130757407,6.15 %,3034949748,3
United States,1955,171685336,1.57 %,2576188,173553,30.3,3.31,19,67.2 %,115375863,6.19 %,2773019936,3
