country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Venezuela,2020,28435940,-0.28 %,-79889,-653249,29.6,2.28,32,N.A.,N.A.,0.36 %,7794798739,50
Venezuela,2019,28515829,-1.29 %,-371289,-653249,27.8,2.38,32,N.A.,N.A.,0.37 %,7713468100,50
Venezuela,2018,28887118,-1.75 %,-515366,-653249,27.8,2.38,33,98.9 %,28562719,0.38 %,7631091040,48
Venezuela,2017,29402484,-1.50 %,-448771,-653249,27.8,2.38,33,95.9 %,28198251,0.39 %,7547858925,46
Venezuela,2016,29851255,-0.77 %,-230574,-653249,27.8,2.38,34,93.2 %,27832085,0.40 %,7464022049,45
Venezuela,2015,30081829,1.13 %,328378,-86208,27.3,2.40,34,91.3 %,27464635,0.41 %,7379797139,45
Venezuela,2010,28439940,1.47 %,401499,-40044,25.8,2.55,32,89.9 %,25568720,0.41 %,6956823603,43
Venezuela,2005,26432447,1.79 %,448000,-4548,24.5,2.72,30,89.1 %,23557733,0.40 %,6541907027,41
Venezuela,2000,24192446,1.98 %,452272,-908,23.2,2.94,27,88.6 %,21441865,0.39 %,6143493823,40
Venezuela,1995,21931084,2.24 %,459684,-454,22.0,3.25,25,87.0 %,19085299,0.38 %,5744212979,41
Venezuela,1990,19632665,2.54 %,462629,184,20.9,3.65,22,85.3 %,16740397,0.37 %,5327231061,43
Venezuela,1985,17319520,2.67 %,427382,276,19.9,3.96,20,82.8 %,14343460,0.36 %,4870921740,42
Venezuela,1980,15182611,2.85 %,398620,224,18.9,4.47,17,80.0 %,12150036,0.34 %,4458003514,42
Venezuela,1975,13189509,2.97 %,358623,188,17.9,4.94,15,76.8 %,10125741,0.32 %,4079480606,47
Venezuela,1970,11396393,3.29 %,340823,632,17.1,5.70,13,73.1 %,8325983,0.31 %,3700437046,46
Venezuela,1965,9692278,3.55 %,310087,3774,16.9,6.18,11,67.9 %,6584735,0.29 %,3339583597,60
Venezuela,1960,8141841,3.84 %,279429,15964,17.0,6.46,9,61.7 %,5019512,0.27 %,3034949748,53
Venezuela,1955,6744695,4.23 %,252543,44015,17.3,6.46,8,54.7 %,3687084,0.24 %,2773019936,60
