country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Vietnam,2020,97338579,0.91 %,876473,-80000,32.5,2.06,314,37.7 %,36727248,1.25 %,7794798739,15
Vietnam,2019,96462106,0.96 %,916144,-80000,30.9,1.98,311,37.0 %,35686730,1.25 %,7713468100,15
Vietnam,2018,95545962,1.00 %,945314,-80000,30.9,1.98,308,36.3 %,34658961,1.25 %,7631091040,15
Vietnam,2017,94600648,1.03 %,960226,-80000,30.9,1.98,305,35.6 %,33642498,1.25 %,7547858925,15
Vietnam,2016,93640422,1.04 %,963346,-80000,30.9,1.98,302,34.9 %,32635787,1.25 %,7464022049,15
Vietnam,2015,92677076,1.05 %,941885,-80000,30.5,1.96,299,34.1 %,31635369,1.26 %,7379797139,14
Vietnam,2010,87967651,0.97 %,826998,-159994,28.5,1.93,284,30.6 %,26910696,1.26 %,6956823603,13
Vietnam,2005,83832661,0.96 %,784450,-130200,26.4,1.92,270,27.4 %,23000555,1.28 %,6541907027,13
Vietnam,2000,79910412,1.30 %,999990,-43200,24.2,2.25,258,24.5 %,19568590,1.30 %,6143493823,13
Vietnam,1995,74910461,1.96 %,1384320,-78847,22.3,3.23,242,22.3 %,16668571,1.30 %,5744212979,13
Vietnam,1990,67988862,2.23 %,1418428,-66465,21.1,3.85,219,20.3 %,13817423,1.28 %,5327231061,13
Vietnam,1985,60896721,2.33 %,1322975,-65513,20.0,4.60,196,19.6 %,11942117,1.25 %,4870921740,13
Vietnam,1980,54281846,2.19 %,1112731,-171779,19.1,5.50,175,19.3 %,10464982,1.22 %,4458003514,15
Vietnam,1975,48718189,2.34 %,1062679,0,18.3,6.33,157,18.8 %,9152476,1.19 %,4079480606,17
Vietnam,1970,43404793,2.77 %,1109168,0,18.2,6.46,140,18.3 %,7943534,1.17 %,3700437046,17
Vietnam,1965,37858951,2.99 %,1037782,0,19.2,6.42,122,16.4 %,6216854,1.13 %,3339583597,18
Vietnam,1960,32670039,3.02 %,904519,0,21.9,6.16,105,14.7 %,4802582,1.08 %,3034949748,17
Vietnam,1955,28147443,2.56 %,667508,0,23.6,5.40,91,13.1 %,3685807,1.02 %,2773019936,18
