country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Yemen,2020,29825964,2.28 %,664042,-30000,20.2,3.84,56,38.4 %,11465414,0.38 %,7794798739,48
Yemen,2019,29161922,2.33 %,663239,-30000,19.3,4.28,55,37.8 %,11025440,0.38 %,7713468100,48
Yemen,2018,28498683,2.39 %,663864,-30000,19.3,4.28,54,37.2 %,10595260,0.37 %,7631091040,49
Yemen,2017,27834819,2.45 %,666611,-30000,19.3,4.28,53,36.6 %,10174612,0.37 %,7547858925,49
Yemen,2016,27168208,2.53 %,670319,-30000,19.3,4.28,51,35.9 %,9763095,0.36 %,7464022049,50
Yemen,2015,26497889,2.73 %,668607,-15002,19.1,4.40,50,35.3 %,9360571,0.36 %,7379797139,50
Yemen,2010,23154855,2.86 %,609489,-13154,17.9,5.00,44,32.4 %,7501186,0.33 %,6956823603,52
Yemen,2005,20107409,2.92 %,539667,-22430,16.6,5.90,38,29.6 %,5955824,0.31 %,6541907027,53
Yemen,2000,17409072,3.14 %,499151,-20000,15.5,6.80,33,27.0 %,4695121,0.28 %,6143493823,54
Yemen,1995,14913315,4.96 %,640664,121556,14.9,8.20,28,24.4 %,3640249,0.26 %,5744212979,56
Yemen,1990,11709993,4.11 %,427564,-10000,14.4,8.80,22,21.6 %,2523689,0.22 %,5327231061,61
Yemen,1985,9572175,3.80 %,326055,-10000,14.8,8.80,18,18.9 %,1809366,0.20 %,4870921740,69
Yemen,1980,7941898,3.20 %,231441,-15000,15.2,8.60,15,16.9 %,1342619,0.18 %,4458003514,73
Yemen,1975,6784695,1.84 %,118262,-72199,15.9,8.50,13,14.9 %,1013953,0.17 %,4079480606,74
Yemen,1970,6193384,1.58 %,93127,-49132,17.6,8.25,12,13.3 %,823777,0.17 %,3700437046,71
Yemen,1965,5727751,1.51 %,82479,-20000,18.6,8.00,11,10.9 %,622252,0.17 %,3339583597,70
Yemen,1960,5315355,1.37 %,69956,-15000,18.8,7.90,10,8.9 %,470664,0.18 %,3034949748,69
Yemen,1955,4965574,1.27 %,60858,-10000,18.9,7.80,9,7.0 %,347047,0.18 %,2773019936,70
