country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Afghanistan,2020,38928346,2.33 %,886592,-62920,18.4,4.56,60,25.4 %,9904337,0.50 %,7794798739,37
Afghanistan,2019,38041754,2.34 %,869833,-62920,17.4,5.26,58,25.2 %,9582625,0.49 %,7713468100,37
Afghanistan,2018,37171921,2.41 %,875808,-62920,17.4,5.26,57,24.9 %,9273302,0.49 %,7631091040,38
Afghanistan,2017,36296113,2.58 %,913081,-62920,17.4,5.26,56,24.7 %,8971472,0.48 %,7547858925,39
Afghanistan,2016,35383032,2.82 %,969429,-62920,17.4,5.26,54,24.5 %,8670939,0.47 %,7464022049,39
Afghanistan,2015,34413603,3.35 %,1045619,104354,17.2,5.45,53,24.3 %,8367571,0.47 %,7379797139,40
Afghanistan,2010,29185507,2.61 %,706246,-209272,15.9,6.48,45,23.4 %,6836980,0.42 %,6956823603,40
Afghanistan,2005,25654277,4.30 %,974865,148839,16.0,7.18,39,22.2 %,5691836,0.39 %,6541907027,45
Afghanistan,2000,20779953,2.79 %,533859,-173508,15.5,7.65,32,21.3 %,4436282,0.34 %,6143493823,48
Afghanistan,1995,18110657,7.85 %,1139670,615277,16.0,7.48,28,20.4 %,3697570,0.32 %,5744212979,50
Afghanistan,1990,12412308,0.78 %,94820,-305070,15.8,7.47,19,20.9 %,2593947,0.23 %,5327231061,57
Afghanistan,1985,11938208,-2.22 %,-283661,-669019,16.2,7.45,18,18.8 %,2238468,0.25 %,4870921740,56
Afghanistan,1980,13356511,1.03 %,133470,-230792,16.9,7.45,20,15.9 %,2119078,0.30 %,4458003514,51
Afghanistan,1975,12689160,2.58 %,303104,-4000,17.3,7.45,19,13.5 %,1717422,0.31 %,4079480606,48
Afghanistan,1970,11173642,2.33 %,243464,-4000,17.9,7.45,17,11.6 %,1295433,0.30 %,3700437046,48
Afghanistan,1965,9956320,2.05 %,191869,-4000,18.4,7.45,15,9.9 %,984350,0.30 %,3339583597,48
Afghanistan,1960,8996973,1.70 %,145196,-4000,18.8,7.45,14,8.4 %,755797,0.30 %,3034949748,48
Afghanistan,1955,8270991,1.30 %,103775,-4000,19.2,7.45,13,7.1 %,587818,0.30 %,2773019936,48
