country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Algeria,2020,43851044,1.85 %,797990,-10000,28.5,3.05,18,72.9 %,31950910,0.56 %,7794798739,33
Algeria,2019,43053054,1.95 %,824646,-10000,27.7,2.98,18,72.6 %,31236431,0.56 %,7713468100,34
Algeria,2018,42228408,2.03 %,839219,-10000,27.7,2.98,18,72.2 %,30510016,0.55 %,7631091040,34
Algeria,2017,41389189,2.07 %,837797,-10000,27.7,2.98,17,71.9 %,29770610,0.55 %,7547858925,33
Algeria,2016,40551392,2.07 %,823367,-10000,27.7,2.98,17,71.6 %,29016515,0.54 %,7464022049,33
Algeria,2015,39728025,2.00 %,750114,-28654,27.5,2.96,17,71.1 %,28248247,0.54 %,7379797139,33
Algeria,2010,35977455,1.65 %,565546,-71468,26.0,2.72,15,67.8 %,24393696,0.52 %,6956823603,34
Algeria,2005,33149724,1.32 %,421498,-41046,24.1,2.38,14,64.1 %,21247946,0.51 %,6541907027,34
Algeria,2000,31042235,1.54 %,456890,-32883,21.7,2.89,13,60.2 %,18684813,0.51 %,6143493823,34
Algeria,1995,28757785,2.23 %,599783,-25736,19.4,4.12,12,56.3 %,16185664,0.50 %,5744212979,34
Algeria,1990,25758869,2.80 %,665473,-18660,18.0,5.30,11,52.4 %,13496502,0.48 %,5327231061,33
Algeria,1985,22431502,3.14 %,641967,-16204,17.1,6.32,9,48.3 %,10824400,0.46 %,4870921740,35
Algeria,1980,19221665,2.97 %,522792,-44967,16.7,7.18,8,43.8 %,8419984,0.43 %,4458003514,35
Algeria,1975,16607707,2.80 %,428544,-50687,16.5,7.57,7,40.6 %,6738763,0.41 %,4079480606,35
Algeria,1970,14464985,2.88 %,382820,-24267,16.4,7.65,6,39.7 %,5747203,0.39 %,3700437046,36
Algeria,1965,12550885,2.57 %,298604,-56588,16.6,7.65,5,37.9 %,4753122,0.38 %,3339583597,38
Algeria,1960,11057863,2.50 %,256716,-38371,17.8,7.38,5,30.7 %,3394238,0.36 %,3034949748,37
Algeria,1955,9774283,1.96 %,180407,-71989,18.5,7.28,4,26.3 %,2570392,0.35 %,2773019936,38
