country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Anguilla,2019,14869,0.94 %,138,165,N.A.,N.A.,0.00 %,7713468100,224
Anguilla,2018,14731,1.01 %,147,164,N.A.,N.A.,0.00 %,7631091040,224
Anguilla,2017,14584,1.07 %,155,162,N.A.,N.A.,0.00 %,7547858925,224
Anguilla,2016,14429,1.05 %,150,160,N.A.,N.A.,0 %,7464022049,224
Anguilla,2015,14279,1.22 %,168,159,N.A.,N.A.,0 %,7379797139,224
Anguilla,2010,13438,1.53 %,197,149,N.A.,N.A.,0 %,6956823603,224
Anguilla,2005,12453,2.05 %,240,138,N.A.,N.A.,0 %,6541907027,225
Anguilla,2000,11252,2.66 %,277,125,98.4 %,11070,0 %,6143493823,225
Anguilla,1995,9866,2.08 %,193,110,99.4 %,9802,0 %,5744212979,226
Anguilla,1990,8899,4.06 %,321,99,93.7 %,8334,0 %,5327231061,228
Anguilla,1985,7293,0.02 %,2,81,91.3 %,6662,0 %,4870921740,228
Anguilla,1980,7285,0.35 %,25,81,92 %,6702,0 %,4458003514,228
Anguilla,1975,7159,1.12 %,78,80,92.6 %,6629,0 %,4079480606,225
Anguilla,1970,6771,1.26 %,82,75,94.6 %,6403,0 %,3700437046,224
Anguilla,1965,6361,1.07 %,66,71,89.6 %,5700,0 %,3339583597,223
Anguilla,1960,6032,0.85 %,50,67,97.2 %,5864,0 %,3034949748,223
Anguilla,1955,5783,2.47 %,133,64,98.6 %,5700,0 %,2773019936,223
