country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Argentina,2020,45195774,0.93 %,415097,4800,31.5,2.27,17,92.8 %,41919857,0.58 %,7794798739,32
Argentina,2019,44780677,0.95 %,419527,4800,30.7,2.32,16,92.7 %,41489566,0.58 %,7713468100,31
Argentina,2018,44361150,0.97 %,424010,4800,30.7,2.32,16,92.5 %,41055867,0.58 %,7631091040,31
Argentina,2017,43937140,0.99 %,428680,4800,30.7,2.32,16,92.4 %,40618237,0.58 %,7547858925,32
Argentina,2016,43508460,1.01 %,433044,4800,30.7,2.32,16,92.3 %,40175981,0.58 %,7464022049,32
Argentina,2015,43075416,1.04 %,435933,6000,30.5,2.33,16,92.2 %,39728358,0.58 %,7379797139,32
Argentina,2010,40895752,1.01 %,400564,-24000,29.6,2.37,15,91.6 %,37451589,0.59 %,6956823603,32
Argentina,2005,38892931,1.07 %,404429,-25000,28.5,2.48,14,90.6 %,35243134,0.59 %,6541907027,30
Argentina,2000,36870787,1.15 %,408523,-25600,27.6,2.63,13,89.6 %,33033759,0.60 %,6143493823,31
Argentina,1995,34828170,1.32 %,441904,-21000,27.1,2.91,13,88.6 %,30852828,0.61 %,5744212979,31
Argentina,1990,32618651,1.54 %,480474,32000,27.0,3.05,12,87.3 %,28469564,0.61 %,5327231061,31
Argentina,1985,30216279,1.61 %,463950,28000,27.1,3.15,11,85.5 %,25841892,0.62 %,4870921740,29
Argentina,1980,27896528,1.52 %,406150,-46000,27.2,3.40,10,83.5 %,23296076,0.63 %,4458003514,29
Argentina,1975,25865776,1.61 %,397043,28400,27.2,3.15,9,81.6 %,21106293,0.63 %,4079480606,28
Argentina,1970,23880561,1.51 %,344182,26000,27.1,3.05,9,79.2 %,18909965,0.65 %,3700437046,28
Argentina,1965,22159650,1.59 %,335574,24400,26.9,3.09,8,76.8 %,17017687,0.66 %,3339583597,28
Argentina,1960,20481779,1.74 %,338472,28167,26.6,3.13,7,74.1 %,15177946,0.67 %,3034949748,28
Argentina,1955,18789418,1.98 %,350301,56018,26.0,3.15,7,70.2 %,13181070,0.68 %,2773019936,28
