country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Aruba,2020,106766,0.43 %,452,201,41.0,1.90,593,43.6 %,46511,0.00 %,7794798739,197
Aruba,2019,106314,0.44 %,469,201,40.3,1.82,591,43.4 %,46182,0.00 %,7713468100,197
Aruba,2018,105845,0.45 %,479,201,40.3,1.82,588,43.3 %,45872,0.00 %,7631091040,197
Aruba,2017,105366,0.47 %,494,201,40.3,1.82,585,43.3 %,45572,0.00 %,7547858925,197
Aruba,2016,104872,0.51 %,531,201,40.3,1.82,583,43.2 %,45275,0.00 %,7464022049,197
Aruba,2015,104341,0.52 %,534,251,40.1,1.80,580,43.1 %,44979,0.00 %,7379797139,198
Aruba,2010,101669,0.33 %,328,-88,38.4,1.76,565,43.1 %,43778,0.00 %,6956823603,199
Aruba,2005,100031,1.94 %,1836,1253,36.2,1.82,556,44.9 %,44889,0.00 %,6541907027,198
Aruba,2000,90853,2.49 %,2106,1385,34.4,1.95,505,46.7 %,42444,0.00 %,6143493823,198
Aruba,1995,80324,5.26 %,3635,2844,32.5,2.17,446,48.8 %,39171,0.00 %,5744212979,198
Aruba,1990,62149,-0.28 %,-175,-1039,31.2,2.30,345,50.3 %,31273,0.00 %,5327231061,203
Aruba,1985,63026,0.96 %,586,-384,28.0,2.36,350,50.4 %,31762,0.00 %,4870921740,202
Aruba,1980,60096,-0.19 %,-112,-1094,26.0,2.45,334,50.5 %,30331,0.00 %,4458003514,201
Aruba,1975,60657,0.53 %,319,-707,23.9,2.65,337,50.5 %,30661,0.00 %,4079480606,198
Aruba,1970,59063,0.59 %,341,-855,20.8,3.30,328,50.6 %,29900,0.00 %,3700437046,198
Aruba,1965,57360,1.14 %,630,-865,19.1,4.40,319,50.7 %,29082,0.00 %,3339583597,196
Aruba,1960,54211,4.39 %,2097,557,18.1,5.15,301,50.8 %,27526,0.00 %,3034949748,193
Aruba,1955,43724,2.81 %,1131,-316,18.1,5.65,243,50.9 %,22235,0.00 %,2773019936,196
