country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Australia,2020,25499884,1.18 %,296686,158246,37.9,1.83,3,85.9 %,21903705,0.33 %,7794798739,55
Australia,2019,25203198,1.23 %,305046,158246,37.3,1.87,3,85.7 %,21607414,0.33 %,7713468100,55
Australia,2018,24898152,1.28 %,313532,158246,37.3,1.87,3,85.6 %,21307040,0.33 %,7631091040,55
Australia,2017,24584620,1.33 %,321908,158246,37.3,1.87,3,85.4 %,21003923,0.33 %,7547858925,53
Australia,2016,24262712,1.38 %,330210,158246,37.3,1.87,3,85.3 %,20700043,0.33 %,7464022049,53
Australia,2015,23932502,1.56 %,355565,197875,37.2,1.89,3,85.2 %,20396531,0.32 %,7379797139,53
Australia,2010,22154679,1.89 %,395228,242160,36.8,1.95,3,85.0 %,18842292,0.32 %,6956823603,53
Australia,2005,20178540,1.22 %,237422,117856,36.5,1.77,3,84.8 %,17118434,0.31 %,6541907027,52
Australia,2000,18991431,1.09 %,199671,77684,35.4,1.79,2,84.6 %,16060093,0.31 %,6143493823,51
Australia,1995,17993074,1.19 %,206495,70216,33.6,1.86,2,85.3 %,15346879,0.31 %,5744212979,51
Australia,1990,16960597,1.60 %,259387,130842,32.1,1.86,2,85.8 %,14558985,0.32 %,5327231061,49
Australia,1985,15663663,1.43 %,215052,90714,30.7,1.91,2,85.9 %,13461702,0.32 %,4870921740,47
Australia,1980,14588405,1.16 %,163023,47149,29.3,1.99,2,85.9 %,12532663,0.33 %,4458003514,46
Australia,1975,13773288,1.49 %,196051,51906,28.1,2.54,2,85.1 %,11727714,0.34 %,4079480606,42
Australia,1970,12793034,2.49 %,295968,161239,27.4,2.87,2,84.3 %,10787874,0.35 %,3700437046,42
Australia,1965,11313195,2.01 %,214224,76869,28.3,3.27,1,83.4 %,9439263,0.34 %,3339583597,42
Australia,1960,10242076,2.25 %,215274,79911,29.6,3.41,1,81.9 %,8389125,0.34 %,3034949748,39
Australia,1955,9165707,2.31 %,197673,79201,30.2,3.18,1,79.7 %,7309544,0.33 %,2773019936,42
