country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Belize,2020,397628,1.86 %,7275,1200,25.5,2.32,17,46.1 %,183182,0.01 %,7794798739,177
Belize,2019,390353,1.90 %,7282,1200,24.0,2.53,17,45.9 %,178983,0.01 %,7713468100,177
Belize,2018,383071,1.94 %,7302,1200,24.0,2.53,17,45.6 %,174871,0.01 %,7631091040,178
Belize,2017,375769,2.00 %,7369,1200,24.0,2.53,16,45.5 %,170857,0.00 %,7547858925,179
Belize,2016,368400,2.07 %,7467,1200,24.0,2.53,16,45.3 %,166945,0.00 %,7464022049,179
Belize,2015,360933,2.28 %,7694,1519,23.7,2.58,16,45.2 %,163139,0.00 %,7379797139,179
Belize,2010,322464,2.59 %,7733,1744,21.9,2.84,14,45.1 %,145456,0.00 %,6956823603,179
Belize,2005,283800,2.79 %,7297,1159,20.3,3.35,12,45.2 %,128360,0.00 %,6541907027,180
Belize,2000,247315,3.63 %,8070,2382,19.2,3.85,11,45.4 %,112275,0.00 %,6143493823,181
Belize,1995,206963,1.99 %,3882,-1802,18.4,4.35,9,46.4 %,96084,0.00 %,5744212979,182
Belize,1990,187552,2.61 %,4526,-1081,17.9,4.70,8,47.5 %,89021,0.00 %,5327231061,182
Belize,1985,164921,2.73 %,4153,-1066,17.2,5.40,7,48.4 %,79853,0.00 %,4870921740,182
Belize,1980,144155,1.58 %,2179,-2708,16.4,6.20,6,49.4 %,71175,0.00 %,4458003514,185
Belize,1975,133260,1.75 %,2216,-2133,16.0,6.25,6,50.2 %,66858,0.00 %,4079480606,182
Belize,1970,122182,2.86 %,3213,-591,16.3,6.35,5,51.0 %,62268,0.00 %,3700437046,180
Belize,1965,106119,2.88 %,2811,-484,16.5,6.45,5,52.5 %,55692,0.00 %,3339583597,180
Belize,1960,92064,2.88 %,2439,-549,17.8,6.55,4,54.0 %,49741,0.00 %,3034949748,179
Belize,1955,79870,2.99 %,2190,-591,18.6,6.65,4,54.7 %,43673,0.00 %,2773019936,180
