country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Benin,2020,12123200,2.73 %,322049,-2000,18.8,4.87,108,48.4 %,5869303,0.16 %,7794798739,77
Benin,2019,11801151,2.75 %,316107,-2000,18.4,5.15,105,47.9 %,5648384,0.15 %,7713468100,77
Benin,2018,11485044,2.77 %,309846,-2000,18.4,5.15,102,47.3 %,5434128,0.15 %,7631091040,78
Benin,2017,11175198,2.79 %,303135,-2000,18.4,5.15,99,46.8 %,5226646,0.15 %,7547858925,81
Benin,2016,10872063,2.80 %,296111,-2000,18.4,5.15,96,46.2 %,5026121,0.15 %,7464022049,81
Benin,2015,10575952,2.83 %,275339,-8454,18.2,5.22,94,45.7 %,4832633,0.14 %,7379797139,85
Benin,2010,9199259,2.88 %,243407,-9755,17.9,5.49,82,43.1 %,3964272,0.13 %,6956823603,90
Benin,2005,7982225,3.06 %,223255,5001,17.6,5.78,71,40.5 %,3236223,0.12 %,6541907027,92
Benin,2000,6865951,3.06 %,192079,-570,17.3,6.16,61,38.3 %,2631898,0.11 %,6143493823,94
Benin,1995,5905558,3.47 %,185412,13652,17.2,6.56,52,36.8 %,2170773,0.10 %,5744212979,95
Benin,1990,4978496,3.08 %,139999,-1745,17.1,6.88,44,34.5 %,1716829,0.09 %,5327231061,103
Benin,1985,4278501,2.85 %,112267,-2170,17.3,7.01,38,30.8 %,1317626,0.09 %,4870921740,106
Benin,1980,3717165,2.63 %,90400,-3879,17.7,7.00,33,27.3 %,1016229,0.08 %,4458003514,107
Benin,1975,3265165,2.31 %,70565,-4969,18.3,6.83,29,21.9 %,715214,0.08 %,4079480606,110
Benin,1970,2912340,2.04 %,55997,-4748,19.1,6.65,26,16.7 %,486086,0.08 %,3700437046,109
Benin,1965,2632356,1.60 %,40147,-4859,20.0,6.42,23,12.5 %,329541,0.08 %,3339583597,109
Benin,1960,2431622,1.09 %,25607,-4600,20.9,6.13,22,9.3 %,225522,0.08 %,3034949748,109
Benin,1955,2303587,0.43 %,9672,-4600,22.3,5.86,20,6.8 %,156746,0.08 %,2773019936,109
