country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bermuda,2019,62506,-0.4 %,-250,1250,97.3 %,60833,0.00 %,7713468100,206
Bermuda,2018,62756,-0.46 %,-293,1255,97.3 %,61070,0.00 %,7631091040,206
Bermuda,2017,63049,-0.49 %,-313,1261,97.3 %,61349,0.00 %,7547858925,206
Bermuda,2016,63362,-0.52 %,-330,1267,97.3 %,61666,0 %,7464022049,205
Bermuda,2015,63692,-0.52 %,-339,1274,97.3 %,62003,0 %,7379797139,205
Bermuda,2010,65389,-0.26 %,-174,1308,97.8 %,63956,0 %,6956823603,205
Bermuda,2005,66257,0.38 %,249,1325,98.3 %,65130,0 %,6541907027,205
Bermuda,2000,65012,0.49 %,314,1300,98.5 %,64028,0 %,6143493823,205
Bermuda,1995,63442,0.58 %,362,1269,98.8 %,62696,0 %,5744212979,205
Bermuda,1990,61634,0.67 %,406,1233,98.9 %,60930,0 %,5327231061,204
Bermuda,1985,59602,0.7 %,406,1192,98.9 %,58920,0 %,4870921740,204
Bermuda,1980,57573,0.77 %,435,1151,99 %,56992,0 %,4458003514,203
Bermuda,1975,55400,1.06 %,567,1108,99.3 %,54990,0 %,4079480606,202
Bermuda,1970,52565,1.25 %,635,1051,99.5 %,52286,0 %,3700437046,200
Bermuda,1965,49388,1.89 %,882,988,82.5 %,40755,0 %,3339583597,197
Bermuda,1960,44979,2.02 %,854,900,99.9 %,44946,0 %,3034949748,198
Bermuda,1955,40708,1.79 %,690,814,N.A.,N.A.,0 %,2773019936,197
