country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Bolivia,2020,11673021,1.39 %,159921,-9504,25.6,2.75,11,69.3 %,8094974,0.15 %,7794798739,80
Bolivia,2019,11513100,1.41 %,159958,-9504,24.4,2.99,11,69.0 %,7940041,0.15 %,7713468100,81
Bolivia,2018,11353142,1.43 %,160287,-9504,24.4,2.99,10,68.6 %,7786488,0.15 %,7631091040,80
Bolivia,2017,11192855,1.46 %,161041,-9504,24.4,2.99,10,68.2 %,7634445,0.15 %,7547858925,80
Bolivia,2016,11031814,1.49 %,162084,-9504,24.4,2.99,10,67.8 %,7484135,0.15 %,7464022049,80
Bolivia,2015,10869730,1.58 %,164228,-11524,24.1,3.05,10,67.5 %,7334993,0.15 %,7379797139,80
Bolivia,2010,10048590,1.71 %,163257,-13540,22.9,3.40,9,65.6 %,6588702,0.14 %,6956823603,82
Bolivia,2005,9232306,1.86 %,162808,-15544,21.9,3.85,9,63.4 %,5855799,0.14 %,6541907027,83
Bolivia,2000,8418264,2.01 %,159185,-12866,21.1,4.25,8,61.2 %,5152761,0.14 %,6143493823,86
Bolivia,1995,7622338,2.12 %,151499,-10334,20.5,4.68,7,58.7 %,4475674,0.13 %,5744212979,88
Bolivia,1990,6864842,2.13 %,137076,-12852,20.0,5.07,6,55.5 %,3810515,0.13 %,5327231061,90
Bolivia,1985,6179460,2.06 %,119905,-14734,19.7,5.30,6,50.8 %,3137990,0.13 %,4870921740,90
Bolivia,1980,5579935,2.21 %,115703,-8026,19.5,5.65,5,45.5 %,2540502,0.13 %,4458003514,90
Bolivia,1975,5001419,2.21 %,103483,-5324,19.4,5.90,5,41.4 %,2069502,0.12 %,4079480606,88
Bolivia,1970,4484004,2.11 %,89026,-4630,19.3,6.10,4,40.0 %,1792197,0.12 %,3700437046,91
Bolivia,1965,4038872,2.01 %,76383,-4152,19.3,6.30,4,38.6 %,1557303,0.12 %,3339583597,87
Bolivia,1960,3656955,1.88 %,65184,-2352,19.3,6.40,3,37.1 %,1357798,0.12 %,3034949748,89
Bolivia,1955,3331036,1.57 %,49841,-4772,19.8,6.50,3,35.7 %,1187684,0.12 %,2773019936,87
