country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Brazil,2020,212559417,0.72 %,1509890,21200,33.5,1.74,25,87.6 %,186217070,2.73 %,7794798739,6
Brazil,2019,211049527,0.75 %,1580204,21200,31.8,1.76,25,87.4 %,184407548,2.74 %,7713468100,6
Brazil,2018,209469323,0.79 %,1635500,21200,31.8,1.76,25,87.1 %,182546459,2.74 %,7631091040,6
Brazil,2017,207833823,0.81 %,1670770,21200,31.8,1.76,25,86.9 %,180633872,2.75 %,7547858925,6
Brazil,2016,206163053,0.83 %,1691284,21200,31.8,1.76,25,86.7 %,178669587,2.76 %,7464022049,5
Brazil,2015,204471769,0.88 %,1751627,3185,31.4,1.77,24,86.4 %,176653700,2.77 %,7379797139,5
Brazil,2010,195713635,1.01 %,1917306,0,29.2,1.86,23,84.8 %,165969018,2.81 %,6956823603,5
Brazil,2005,186127103,1.26 %,2267353,0,27.1,2.13,22,83.2 %,154831640,2.85 %,6541907027,5
Brazil,2000,174790340,1.53 %,2554089,0,25.3,2.47,21,81.4 %,142319507,2.85 %,6143493823,5
Brazil,1995,162019896,1.69 %,2603335,0,23.9,2.72,19,77.7 %,125958216,2.82 %,5744212979,5
Brazil,1990,149003223,1.95 %,2745829,0,22.6,3.14,18,74.1 %,110404028,2.80 %,5327231061,5
Brazil,1985,135274080,2.31 %,2916014,0,21.4,3.80,16,70.1 %,94786793,2.78 %,4870921740,6
Brazil,1980,120694009,2.40 %,2695561,0,20.3,4.24,14,65.7 %,79320279,2.71 %,4458003514,6
Brazil,1975,107216205,2.42 %,2420588,0,19.5,4.63,13,61.0 %,65415995,2.63 %,4079480606,7
Brazil,1970,95113265,2.67 %,2347947,0,18.6,5.34,11,56.0 %,53295882,2.57 %,3700437046,7
Brazil,1965,83373530,2.93 %,2238861,0,18.3,5.97,10,51.1 %,42615168,2.50 %,3339583597,8
Brazil,1960,72179226,2.91 %,1929061,0,18.6,6.06,9,46.2 %,33315588,2.38 %,3034949748,8
Brazil,1955,62533919,2.99 %,1711838,59635,18.9,6.10,7,41.1 %,25688833,2.26 %,2773019936,8
