country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Brunei,2020,437479,0.97 %,4194,0,32.3,1.85,83,79.5 %,347838,0.01 %,7794798739,175
Brunei,2019,433285,1.01 %,4322,0,30.4,1.98,82,79.0 %,342428,0.01 %,7713468100,175
Brunei,2018,428963,1.06 %,4490,0,30.4,1.98,81,78.6 %,336970,0.01 %,7631091040,175
Brunei,2017,424473,1.11 %,4673,0,30.4,1.98,81,78.1 %,331434,0.01 %,7547858925,175
Brunei,2016,419800,1.18 %,4893,0,30.4,1.98,80,77.6 %,325818,0.01 %,7464022049,175
Brunei,2015,414907,1.32 %,5252,-180,29.9,2.02,79,77.2 %,320102,0.01 %,7379797139,175
Brunei,2010,388646,1.26 %,4706,-451,27.5,1.88,74,75.0 %,291344,0.01 %,6956823603,176
Brunei,2005,365114,1.85 %,6390,84,26.8,2.22,69,73.2 %,267160,0.01 %,6541907027,176
Brunei,2000,333165,2.32 %,7210,838,25.5,2.51,63,71.2 %,237146,0.01 %,6143493823,175
Brunei,1995,297114,2.81 %,7679,954,24.0,3.08,56,68.7 %,204005,0.01 %,5744212979,175
Brunei,1990,258721,2.88 %,6854,737,23.1,3.47,49,66.5 %,171931,0.00 %,5327231061,176
Brunei,1985,224449,2.97 %,6114,724,21.2,3.79,43,65.7 %,147498,0.00 %,4870921740,178
Brunei,1980,193879,3.71 %,6451,1659,20.2,4.45,37,65.0 %,125968,0.00 %,4458003514,178
Brunei,1975,161626,4.53 %,6419,2177,19.6,5.49,31,64.2 %,103782,0.00 %,4079480606,178
Brunei,1970,129529,4.82 %,5429,2169,18.4,5.90,25,61.7 %,79920,0.00 %,3700437046,179
Brunei,1965,102386,4.62 %,4137,1284,17.7,6.66,19,52.6 %,53901,0.00 %,3339583597,187
Brunei,1960,81702,5.22 %,3669,1402,19.4,6.89,16,43.4 %,35478,0.00 %,3034949748,184
Brunei,1955,63356,5.71 %,3071,1340,21.1,6.90,12,34.6 %,21948,0.00 %,2773019936,187
