country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Caribbean Netherlands,2019,25979,1.04 %,268,79,74.9 %,19469,0.00 %,7713468100,221
Caribbean Netherlands,2018,25711,1.22 %,310,78,74.9 %,19250,0.00 %,7631091040,221
Caribbean Netherlands,2017,25401,1.52 %,381,77,74.8 %,19007,0.00 %,7547858925,221
Caribbean Netherlands,2016,25020,1.83 %,450,76,74.8 %,18712,0 %,7464022049,221
Caribbean Netherlands,2015,24570,3.25 %,726,75,74.8 %,18368,0 %,7379797139,221
Caribbean Netherlands,2010,20940,7.77 %,1307,64,74.7 %,15650,0 %,6956823603,221
Caribbean Netherlands,2005,14403,0.01 %,2,44,74.8 %,10767,0 %,6541907027,224
Caribbean Netherlands,2000,14393,-0.96 %,-143,44,74.9 %,10787,0 %,6143493823,224
Caribbean Netherlands,1995,15107,3.02 %,418,46,76.4 %,11548,0 %,5744212979,223
Caribbean Netherlands,1990,13019,1.6 %,199,40,77.7 %,10111,0 %,5327231061,223
Caribbean Netherlands,1985,12025,1.41 %,163,37,78.4 %,9427,0 %,4870921740,222
Caribbean Netherlands,1980,11210,0.33 %,37,34,79 %,8851,0 %,4458003514,223
Caribbean Netherlands,1975,11027,1.26 %,134,34,78.4 %,8641,0 %,4079480606,220
Caribbean Netherlands,1970,10359,2.55 %,245,32,77.5 %,8026,0 %,3700437046,219
Caribbean Netherlands,1965,9134,2.5 %,212,28,61 %,5568,0 %,3339583597,220
Caribbean Netherlands,1960,8074,1.03 %,81,25,74.3 %,5999,0 %,3034949748,220
Caribbean Netherlands,1955,7670,1.49 %,110,23,72.6 %,5568,0 %,2773019936,220
