country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Chad,2020,16425864,3.00 %,478988,2000,16.6,5.80,13,23.3 %,3830260,0.21 %,7794798739,72
Chad,2019,15946876,3.03 %,469147,2000,16.1,6.20,13,23.1 %,3681488,0.21 %,7713468100,72
Chad,2018,15477729,3.07 %,460976,2000,16.1,6.20,12,22.9 %,3540279,0.20 %,7631091040,72
Chad,2017,15016753,3.13 %,455093,2000,16.1,6.20,12,22.7 %,3405873,0.20 %,7547858925,72
Chad,2016,14561660,3.19 %,450685,2000,16.1,6.20,12,22.5 %,3277402,0.20 %,7464022049,72
Chad,2015,14110975,3.38 %,431768,20000,16.0,6.31,11,22.4 %,3154216,0.19 %,7379797139,72
Chad,2010,11952136,3.43 %,371101,15000,15.6,6.85,9,21.9 %,2613400,0.17 %,6956823603,74
Chad,2005,10096633,3.86 %,348196,43793,15.4,7.24,8,21.7 %,2194746,0.15 %,6541907027,80
Chad,2000,8355654,3.57 %,269102,13889,15.5,7.41,7,21.6 %,1805052,0.14 %,6143493823,87
Chad,1995,7010145,3.29 %,209379,-2075,15.8,7.39,6,21.4 %,1503250,0.12 %,5744212979,91
Chad,1990,5963252,3.20 %,173570,284,16.2,7.21,5,20.8 %,1239707,0.11 %,5327231061,93
Chad,1985,5095401,2.45 %,116194,-26249,16.8,7.04,4,19.8 %,1007073,0.10 %,4870921740,98
Chad,1980,4514430,2.00 %,85173,-35100,17.5,6.87,4,18.8 %,847659,0.10 %,4458003514,100
Chad,1975,4088564,2.33 %,88992,-9810,18.2,6.67,3,15.6 %,636342,0.10 %,4079480606,99
Chad,1970,3643604,1.94 %,66804,-8190,18.6,6.40,3,11.6 %,421481,0.10 %,3700437046,101
Chad,1965,3309586,1.97 %,61595,-1000,19.2,6.30,3,8.4 %,278207,0.10 %,3339583597,98
Chad,1960,3001609,1.88 %,53282,-500,19.9,6.20,2,6.7 %,200952,0.10 %,3034949748,100
Chad,1955,2735198,1.80 %,46576,0,20.7,6.10,2,5.5 %,150299,0.10 %,2773019936,98
