country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
China,2020,1439323776,0.39 %,5540090,-348399,38.4,1.69,153,60.8 %,875075919,18.47 %,7794798739,1
China,2019,1433783686,0.43 %,6135900,-348399,37.0,1.65,153,59.7 %,856409297,18.59 %,7713468100,1
China,2018,1427647786,0.47 %,6625995,-348399,37.0,1.65,152,58.6 %,837022095,18.71 %,7631091040,1
China,2017,1421021791,0.49 %,6972440,-348399,37.0,1.65,151,57.5 %,816957613,18.83 %,7547858925,1
China,2016,1414049351,0.51 %,7201481,-348399,37.0,1.65,151,56.3 %,796289491,18.94 %,7464022049,1
China,2015,1406847870,0.55 %,7607451,-310442,36.7,1.64,150,55.1 %,775352918,19.06 %,7379797139,1
China,2010,1368810615,0.57 %,7606847,-435677,35.0,1.62,146,48.9 %,669353557,19.68 %,6956823603,1
China,2005,1330776380,0.62 %,8045123,-393116,32.6,1.61,142,42.2 %,561983323,20.34 %,6541907027,1
China,2000,1290550765,0.79 %,9926046,-76600,30.0,1.62,137,35.7 %,460377048,21.01 %,6143493823,1
China,1995,1240920535,1.07 %,12807372,-155996,27.4,1.83,132,30.9 %,383901711,21.60 %,5744212979,1
China,1990,1176883674,1.82 %,20258863,-86330,24.9,2.73,125,26.3 %,310022147,22.09 %,5327231061,1
China,1985,1075589361,1.47 %,15100025,-40000,23.5,2.52,115,22.8 %,244946241,22.08 %,4870921740,1
China,1980,1000089235,1.55 %,14769670,-9401,21.9,3.01,107,19.2 %,192392094,22.43 %,4458003514,1
China,1975,926240885,2.28 %,19727898,-221096,20.3,4.85,99,17.3 %,160244444,22.70 %,4079480606,1
China,1970,827601394,2.70 %,20676485,-32000,19.3,6.30,88,17.3 %,143513192,22.36 %,3700437046,1
China,1965,724218968,1.86 %,12762182,-225145,19.8,6.15,77,18.0 %,130684595,21.69 %,3339583597,1
China,1960,660408056,1.53 %,9633300,-11900,21.3,5.48,70,16.1 %,106561743,21.76 %,3034949748,1
China,1955,612241554,2.00 %,11564456,-51205,22.2,6.11,65,13.8 %,84639825,22.08 %,2773019936,1
