country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Colombia,2020,50882891,1.08 %,543448,204796,31.3,1.82,46,80.4 %,40891996,0.65 %,7794798739,29
Colombia,2019,50339443,1.37 %,678395,204796,29.8,1.90,45,80.3 %,40430278,0.65 %,7713468100,29
Colombia,2018,49661048,1.54 %,751209,204796,29.8,1.90,45,80.5 %,39956413,0.65 %,7631091040,29
Colombia,2017,48909839,1.53 %,734787,204796,29.8,1.90,44,80.7 %,39471097,0.65 %,7547858925,29
Colombia,2016,48175052,1.38 %,654385,204796,29.8,1.90,43,80.9 %,38975181,0.65 %,7464022049,29
Colombia,2015,47520667,1.00 %,459593,-38676,29.5,1.92,43,81.0 %,38469351,0.64 %,7379797139,29
Colombia,2010,45222700,1.18 %,514995,-39000,27.5,2.10,41,79.2 %,35799432,0.65 %,6956823603,29
Colombia,2005,42647723,1.48 %,603551,-46200,25.7,2.44,38,77.2 %,32907507,0.65 %,6541907027,29
Colombia,2000,39629968,1.70 %,641706,-51800,24.1,2.70,36,75.4 %,29881676,0.65 %,6143493823,29
Colombia,1995,36421438,1.93 %,663773,-57590,22.9,3.01,33,73.8 %,26874824,0.63 %,5744212979,30
Colombia,1990,33102575,2.02 %,630275,-64800,21.9,3.17,30,71.9 %,23812185,0.62 %,5327231061,30
Colombia,1985,29951201,2.17 %,610139,-74194,20.5,3.58,27,69.4 %,20788244,0.61 %,4870921740,30
Colombia,1980,26900506,2.25 %,567000,-83870,19.1,4.16,24,65.7 %,17679604,0.60 %,4458003514,30
Colombia,1975,24065507,2.30 %,517088,-76084,17.8,4.72,22,62.0 %,14930011,0.59 %,4079480606,30
Colombia,1970,21480065,2.78 %,550964,-67727,16.7,5.86,19,58.2 %,12494401,0.58 %,3700437046,30
Colombia,1965,18725245,3.12 %,533504,-61313,16.2,6.64,17,54.0 %,10111908,0.56 %,3339583597,32
Colombia,1960,16057724,3.11 %,456545,-46559,16.7,6.68,14,47.5 %,7625171,0.53 %,3034949748,32
Colombia,1955,13775000,2.83 %,358685,-41681,17.4,6.51,12,40.5 %,5579539,0.50 %,2773019936,32
