country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Comoros,2020,869601,2.20 %,18715,-2000,20.4,4.24,467,29.4 %,255487,0.01 %,7794798739,163
Comoros,2019,850886,2.23 %,18564,-2000,19.8,4.52,457,29.2 %,248160,0.01 %,7713468100,163
Comoros,2018,832322,2.26 %,18430,-2000,19.8,4.52,447,29.0 %,241092,0.01 %,7631091040,163
Comoros,2017,813892,2.30 %,18300,-2000,19.8,4.52,437,28.8 %,234273,0.01 %,7547858925,163
Comoros,2016,795592,2.34 %,18168,-2000,19.8,4.52,428,28.6 %,227690,0.01 %,7464022049,163
Comoros,2015,777424,2.42 %,17546,-2000,19.7,4.60,418,28.5 %,221334,0.01 %,7379797139,163
Comoros,2010,689692,2.43 %,15613,-2000,19.1,4.90,371,28.0 %,192925,0.01 %,6956823603,164
Comoros,2005,611627,2.43 %,13854,-2000,18.4,5.20,329,27.9 %,170493,0.01 %,6541907027,166
Comoros,2000,542357,2.67 %,13393,-1200,17.7,5.60,291,28.1 %,152293,0.01 %,6143493823,166
Comoros,1995,475394,2.92 %,12760,-600,17.1,6.10,255,28.3 %,134543,0.01 %,5744212979,166
Comoros,1990,411594,2.98 %,11251,-900,17.0,6.70,221,27.9 %,114709,0.01 %,5327231061,166
Comoros,1985,355337,2.91 %,9502,-900,17.2,7.05,191,25.5 %,90500,0.01 %,4870921740,167
Comoros,1980,307829,3.65 %,10108,2000,17.5,7.05,165,23.2 %,71463,0.01 %,4458003514,169
Comoros,1975,257290,2.26 %,5447,-1100,17.5,7.05,138,21.2 %,54647,0.01 %,4079480606,169
Comoros,1970,230054,2.09 %,4526,-1100,17.7,7.05,124,19.4 %,44607,0.01 %,3700437046,171
Comoros,1965,207424,1.65 %,3261,-1698,18.5,6.91,111,17.0 %,35217,0.01 %,3339583597,170
Comoros,1960,191121,1.67 %,3044,-1223,19.6,6.60,103,12.6 %,23988,0.01 %,3034949748,169
Comoros,1955,175903,1.98 %,3289,0,20.6,6.00,95,9.1 %,16095,0.01 %,2773019936,170
