country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cook Islands,2019,17548,0.17 %,30,73,74.9 %,13144,0.00 %,7713468100,223
Cook Islands,2018,17518,0.06 %,11,73,74.6 %,13067,0.00 %,7631091040,223
Cook Islands,2017,17507,-0.1 %,-17,73,74.3 %,13006,0.00 %,7547858925,223
Cook Islands,2016,17524,-0.35 %,-62,73,74 %,12968,0 %,7464022049,223
Cook Islands,2015,17586,-0.89 %,-161,73,73.8 %,12983,0 %,7379797139,223
Cook Islands,2010,18391,-0.73 %,-137,77,73.9 %,13585,0 %,6956823603,222
Cook Islands,2005,19074,1.24 %,229,79,73.4 %,13999,0 %,6541907027,222
Cook Islands,2000,17930,-1.25 %,-233,75,65.9 %,11814,0 %,6143493823,222
Cook Islands,1995,19097,0.98 %,181,80,58.2 %,11123,0 %,5744212979,220
Cook Islands,1990,18191,0.66 %,118,76,58.2 %,10594,0 %,5327231061,219
Cook Islands,1985,17603,0.1 %,18,73,55.6 %,9789,0 %,4870921740,218
Cook Islands,1980,17512,-2.85 %,-544,73,54.2 %,9492,0 %,4458003514,215
Cook Islands,1975,20234,-1.02 %,-214,84,54.3 %,10990,0 %,4079480606,214
Cook Islands,1970,21302,2.43 %,482,89,53.5 %,11406,0 %,3700437046,212
Cook Islands,1965,18894,0.74 %,136,79,36.6 %,6907,0 %,3339583597,211
Cook Islands,1960,18212,2.18 %,373,76,46.6 %,8485,0 %,3034949748,211
Cook Islands,1955,16347,1.63 %,254,68,42.3 %,6907,0 %,2773019936,211
