country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Cyprus,2020,1207359,0.73 %,8784,5000,37.3,1.34,131,66.8 %,806754,0.02 %,7794798739,158
Cyprus,2019,1198575,0.78 %,9310,5000,35.4,1.37,130,66.8 %,800615,0.02 %,7713468100,158
Cyprus,2018,1189265,0.81 %,9587,5000,35.4,1.37,129,66.8 %,794433,0.02 %,7631091040,158
Cyprus,2017,1179678,0.81 %,9491,5000,35.4,1.37,128,66.8 %,788359,0.02 %,7547858925,158
Cyprus,2016,1170187,0.79 %,9202,5000,35.4,1.37,127,66.9 %,782589,0.02 %,7464022049,158
Cyprus,2015,1160985,0.85 %,9675,4502,34.9,1.38,126,66.9 %,777234,0.02 %,7379797139,158
Cyprus,2010,1112612,1.60 %,16990,11732,33.9,1.48,120,67.6 %,751576,0.02 %,6956823603,156
Cyprus,2005,1027662,1.73 %,16874,11506,32.9,1.59,111,68.3 %,701562,0.02 %,6541907027,155
Cyprus,2000,943290,1.98 %,17581,10652,31.8,1.89,102,68.6 %,647550,0.02 %,6143493823,155
Cyprus,1995,855383,2.22 %,17754,8639,31.0,2.33,93,68.0 %,581986,0.01 %,5744212979,155
Cyprus,1990,766615,1.73 %,12586,3433,29.9,2.43,83,66.8 %,511911,0.01 %,5327231061,155
Cyprus,1985,703685,0.53 %,3656,-5527,29.1,2.45,76,64.7 %,455131,0.01 %,4870921740,156
Cyprus,1980,685405,1.07 %,7131,-243,28.3,2.29,74,58.6 %,401746,0.02 %,4458003514,154
Cyprus,1975,649751,1.15 %,7227,611,27.4,2.49,70,47.3 %,307187,0.02 %,4079480606,152
Cyprus,1970,613618,1.10 %,6530,-1569,26.0,2.80,66,40.8 %,250120,0.02 %,3700437046,152
Cyprus,1965,580966,0.28 %,1607,-8605,23.4,3.44,63,38.2 %,221858,0.02 %,3339583597,148
Cyprus,1960,572930,1.57 %,8592,-1330,23.0,3.50,62,35.6 %,204124,0.02 %,3034949748,148
Cyprus,1955,529972,1.42 %,7191,-2760,24.4,3.71,57,32.3 %,171363,0.02 %,2773019936,148
