country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Democratic Republic Of The Congo,2020,89561403,3.19 %,2770836,23861,17.0,5.96,40,45.6 %,40848447,1.15 %,7794798739,16
Democratic Republic Of The Congo,2019,86790567,3.24 %,2722476,23861,16.8,6.31,38,45.0 %,39067608,1.13 %,7713468100,16
Democratic Republic Of The Congo,2018,84068091,3.28 %,2669327,23861,16.8,6.31,37,44.4 %,37348939,1.10 %,7631091040,16
Democratic Republic Of The Congo,2017,81398764,3.31 %,2609637,23861,16.8,6.31,36,43.8 %,35692384,1.08 %,7547858925,17
Democratic Republic Of The Congo,2016,78789127,3.34 %,2544583,23861,16.8,6.31,35,43.3 %,34098241,1.06 %,7464022049,19
Democratic Republic Of The Congo,2015,76244544,3.38 %,2336138,3012,16.8,6.40,34,42.7 %,32566508,1.03 %,7379797139,19
Democratic Republic Of The Congo,2010,64563854,3.34 %,1955590,-8685,16.9,6.63,28,40.0 %,25817901,0.93 %,6956823603,20
Democratic Republic Of The Congo,2005,54785903,3.07 %,1536015,-48313,17.0,6.72,24,37.5 %,20521483,0.84 %,6541907027,23
Democratic Republic Of The Congo,2000,47105826,2.53 %,1105918,-191635,17.2,6.77,21,35.1 %,16534234,0.77 %,6143493823,25
Democratic Republic Of The Congo,1995,41576234,3.73 %,1392842,257421,17.2,6.77,18,32.9 %,13659173,0.72 %,5744212979,26
Democratic Republic Of The Congo,1990,34612023,2.98 %,946159,14903,17.4,6.71,15,30.6 %,10603379,0.65 %,5327231061,29
Democratic Republic Of The Congo,1985,29881229,2.54 %,704464,-90094,17.5,6.60,13,28.5 %,8520577,0.61 %,4870921740,31
Democratic Republic Of The Congo,1980,26358908,2.85 %,691065,20137,17.7,6.46,12,27.1 %,7135522,0.59 %,4458003514,31
Democratic Republic Of The Congo,1975,22903581,2.74 %,578509,5490,17.8,6.29,10,25.8 %,5913533,0.56 %,4079480606,32
Democratic Republic Of The Congo,1970,20011036,2.87 %,528231,48588,18.1,6.15,9,24.6 %,4924023,0.54 %,3700437046,33
Democratic Republic Of The Congo,1965,17369883,2.64 %,424326,24530,18.2,6.04,8,23.4 %,4070472,0.52 %,3339583597,33
Democratic Republic Of The Congo,1960,15248251,2.44 %,346148,15000,18.2,5.98,7,22.3 %,3400360,0.50 %,3034949748,33
Democratic Republic Of The Congo,1955,13517513,2.10 %,266771,0,18.1,5.98,6,20.7 %,2791904,0.49 %,2773019936,33
