country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Ecuador,2020,17643054,1.55 %,269392,36400,27.9,2.44,71,63.0 %,11123641,0.23 %,7794798739,67
Ecuador,2019,17373662,1.69 %,289304,36400,26.8,2.54,70,63.0 %,10941934,0.23 %,7713468100,67
Ecuador,2018,17084358,1.78 %,298997,36400,26.8,2.54,69,63.0 %,10762370,0.22 %,7631091040,67
Ecuador,2017,16785361,1.78 %,294245,36400,26.8,2.54,68,63.1 %,10585047,0.22 %,7547858925,69
Ecuador,2016,16491116,1.72 %,279096,36400,26.8,2.54,66,63.1 %,10410121,0.22 %,7464022049,68
Ecuador,2015,16212020,1.55 %,240181,-7600,26.5,2.56,65,63.1 %,10235174,0.22 %,7379797139,68
Ecuador,2010,15011117,1.66 %,237054,-9000,25.0,2.69,60,62.4 %,9362550,0.22 %,6956823603,66
Ecuador,2005,13825847,1.74 %,228945,-24000,23.7,2.94,56,61.3 %,8476093,0.21 %,6541907027,63
Ecuador,2000,12681123,2.05 %,245184,-14000,22.6,3.27,51,60.0 %,7614955,0.21 %,6143493823,63
Ecuador,1995,11455204,2.29 %,244854,-3800,21.6,3.55,46,57.7 %,6608741,0.20 %,5744212979,63
Ecuador,1990,10230934,2.45 %,232965,-3400,20.5,3.97,41,55.0 %,5629140,0.19 %,5327231061,67
Ecuador,1985,9066109,2.56 %,215385,-2800,19.5,4.45,37,51.1 %,4632910,0.19 %,4870921740,71
Ecuador,1980,7989186,2.70 %,198970,-1440,18.7,5.05,32,46.9 %,3745835,0.18 %,4458003514,72
Ecuador,1975,6994334,2.88 %,184992,-1100,18.0,5.80,28,42.3 %,2960081,0.17 %,4079480606,73
Ecuador,1970,6069376,2.97 %,165080,-1100,17.7,6.40,24,39.3 %,2385138,0.16 %,3700437046,73
Ecuador,1965,5243977,2.91 %,140062,-1800,17.8,6.65,21,36.7 %,1923650,0.16 %,3339583597,78
Ecuador,1960,4543666,2.81 %,117409,-1600,18.4,6.75,18,33.9 %,1539922,0.15 %,3034949748,77
Ecuador,1955,3956620,2.66 %,97292,-400,19.3,6.75,16,31.0 %,1227169,0.14 %,2773019936,78
