country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
El Salvador,2020,6486205,0.51 %,32652,-40539,27.6,2.05,313,73.4 %,4758508,0.08 %,7794798739,112
El Salvador,2019,6453553,0.51 %,32807,-40539,26.0,2.15,311,72.7 %,4688788,0.08 %,7713468100,111
El Salvador,2018,6420746,0.51 %,32620,-40539,26.0,2.15,310,71.9 %,4617807,0.08 %,7631091040,111
El Salvador,2017,6388126,0.50 %,31983,-40539,26.0,2.15,308,71.2 %,4545804,0.08 %,7547858925,110
El Salvador,2016,6356143,0.49 %,31019,-40539,26.0,2.15,307,70.4 %,4473087,0.09 %,7464022049,110
El Salvador,2015,6325124,0.45 %,28250,-48083,25.7,2.17,305,69.6 %,4399797,0.09 %,7379797139,110
El Salvador,2010,6183875,0.43 %,26350,-57134,24.2,2.40,298,65.2 %,4034898,0.09 %,6956823603,109
El Salvador,2005,6052123,0.55 %,32837,-62557,23.0,2.72,292,61.4 %,3716729,0.09 %,6541907027,102
El Salvador,2000,5887936,0.90 %,51867,-65371,22.0,3.34,284,58.7 %,3456741,0.10 %,6143493823,101
El Salvador,1995,5628600,1.33 %,71704,-53030,20.9,3.78,272,53.8 %,3029314,0.10 %,5744212979,99
El Salvador,1990,5270079,1.32 %,66654,-51337,19.6,4.17,254,49.1 %,2589320,0.10 %,5327231061,100
El Salvador,1985,4936807,1.46 %,69135,-46350,18.6,4.75,238,46.6 %,2298304,0.10 %,4870921740,99
El Salvador,1980,4591134,2.02 %,87288,-32846,17.9,5.44,222,44.0 %,2020033,0.10 %,4458003514,99
El Salvador,1975,4154692,2.49 %,96325,-18195,17.4,5.95,201,41.5 %,1723324,0.10 %,4079480606,98
El Salvador,1970,3673068,2.79 %,94351,-8861,17.1,6.36,177,39.4 %,1446857,0.10 %,3700437046,100
El Salvador,1965,3201313,2.96 %,86998,-4806,17.1,6.67,155,38.9 %,1244965,0.10 %,3339583597,107
El Salvador,1960,2766324,2.60 %,66689,-8776,17.6,6.60,134,38.3 %,1059695,0.09 %,3034949748,106
El Salvador,1955,2432880,2.03 %,46596,-12430,18.1,6.36,117,37.4 %,909227,0.09 %,2773019936,107
