country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Ethiopia,2020,114963588,2.57 %,2884858,30000,19.5,4.30,115,21.3 %,24463423,1.47 %,7794798739,12
Ethiopia,2019,112078730,2.61 %,2854316,30000,18.6,4.73,112,20.9 %,23376340,1.45 %,7713468100,12
Ethiopia,2018,109224414,2.65 %,2824490,30000,18.6,4.73,109,20.4 %,22327769,1.43 %,7631091040,12
Ethiopia,2017,106399924,2.70 %,2796462,30000,18.6,4.73,106,20.0 %,21316856,1.41 %,7547858925,12
Ethiopia,2016,103603462,2.75 %,2768004,30000,18.6,4.73,104,19.6 %,20343215,1.39 %,7464022049,13
Ethiopia,2015,100835458,2.84 %,2639099,79999,18.3,4.85,101,19.2 %,19403087,1.37 %,7379797139,13
Ethiopia,2010,87639964,2.80 %,2258731,-10026,17.3,5.45,88,17.3 %,15189140,1.26 %,6956823603,14
Ethiopia,2005,76346311,2.89 %,2024301,-30000,16.7,6.18,76,15.8 %,12046373,1.17 %,6541907027,15
Ethiopia,2000,66224804,3.03 %,1835379,-31115,16.6,6.83,66,14.8 %,9807289,1.08 %,6143493823,16
Ethiopia,1995,57047908,3.56 %,1832009,291589,16.7,7.09,57,13.9 %,7924483,0.99 %,5744212979,22
Ethiopia,1990,47887865,3.33 %,1447145,153199,16.8,7.37,48,12.7 %,6069048,0.90 %,5327231061,23
Ethiopia,1985,40652141,2.96 %,1102086,49709,17.0,7.42,41,11.5 %,4673050,0.83 %,4870921740,24
Ethiopia,1980,35141712,1.53 %,514972,-422474,17.6,7.18,35,10.4 %,3671221,0.79 %,4458003514,26
Ethiopia,1975,32566854,2.77 %,830355,-11919,17.6,7.10,33,9.5 %,3080708,0.80 %,4079480606,26
Ethiopia,1970,28415077,2.58 %,680290,-8436,18.0,6.87,28,8.6 %,2440181,0.77 %,3700437046,26
Ethiopia,1965,25013626,2.46 %,572470,-4000,18.1,6.90,25,7.6 %,1897839,0.75 %,3339583597,25
Ethiopia,1960,22151278,2.12 %,440797,-4000,18.1,6.90,22,6.4 %,1425096,0.73 %,3034949748,25
Ethiopia,1955,19947292,1.93 %,363852,-4000,18.0,7.17,20,5.4 %,1085996,0.72 %,2773019936,25
