country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
French Guiana,2020,298682,2.70 %,7850,1200,25.1,3.36,4,87.3 %,260877,0.00 %,7794798739,182
French Guiana,2019,290832,2.79 %,7894,1200,24.8,3.41,4,87.3 %,254008,0.00 %,7713468100,182
French Guiana,2018,282938,2.82 %,7747,1200,24.8,3.41,3,87.4 %,247195,0.00 %,7631091040,183
French Guiana,2017,275191,2.75 %,7370,1200,24.8,3.41,3,87.4 %,240441,0.00 %,7547858925,185
French Guiana,2016,267821,2.61 %,6822,1200,24.8,3.41,3,87.3 %,233712,0.00 %,7464022049,185
French Guiana,2015,260999,2.30 %,5599,-211,24.8,3.42,3,87.0 %,226996,0.00 %,7379797139,185
French Guiana,2010,233002,2.80 %,6006,601,24.6,3.60,3,83.3 %,194192,0.00 %,6956823603,185
French Guiana,2005,202971,4.46 %,7961,3460,23.5,3.65,2,81.5 %,165336,0.00 %,6541907027,185
French Guiana,2000,163165,3.50 %,5153,1320,23.9,3.93,2,79.1 %,129081,0.00 %,6143493823,186
French Guiana,1995,137400,3.48 %,4323,890,23.9,4.05,2,77.0 %,105731,0.00 %,5744212979,190
French Guiana,1990,115784,6.02 %,5869,3350,24.1,3.73,1,74.6 %,86423,0.00 %,5327231061,191
French Guiana,1985,86439,5.23 %,3892,2155,23.8,3.58,1,72.7 %,62799,0.00 %,4870921740,195
French Guiana,1980,66977,3.56 %,2151,1019,23.1,3.30,1,70.8 %,47392,0.00 %,4458003514,197
French Guiana,1975,56223,3.24 %,1659,506,21.0,4.18,1,69.1 %,38862,0.00 %,4079480606,201
French Guiana,1970,47930,4.27 %,1808,807,21.7,5.00,1,67.4 %,32321,0.00 %,3700437046,203
French Guiana,1965,38892,3.96 %,1372,695,22.5,5.02,0,65.7 %,25569,0.00 %,3339583597,204
French Guiana,1960,32032,2.37 %,708,141,24.8,4.92,0,63.3 %,20285,0.00 %,3034949748,205
French Guiana,1955,28490,2.26 %,604,46,25.5,5.00,0,58.6 %,16687,0.00 %,2773019936,204
