country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Greenland,2019,56672,0.19 %,108,0,87.1 %,49335,0.00 %,7713468100,209
Greenland,2018,56564,0.15 %,83,0,86.8 %,49107,0.00 %,7631091040,209
Greenland,2017,56481,0.12 %,69,0,86.6 %,48897,0.00 %,7547858925,209
Greenland,2016,56412,0.06 %,35,0,86.3 %,48698,0 %,7464022049,208
Greenland,2015,56377,-0.09 %,-52,0,86.1 %,48524,0 %,7379797139,208
Greenland,2010,56638,-0.11 %,-63,0,84.4 %,47793,0 %,6956823603,207
Greenland,2005,56951,0.27 %,155,0,82.9 %,47188,0 %,6541907027,207
Greenland,2000,56175,0.13 %,73,0,81.6 %,45839,0 %,6143493823,208
Greenland,1995,55811,0.07 %,41,0,80.9 %,45152,0 %,5744212979,206
Greenland,1990,55604,0.89 %,483,0,79.7 %,44315,0 %,5327231061,205
Greenland,1985,53190,1.17 %,602,0,78 %,41468,0 %,4870921740,205
Greenland,1980,50179,0.24 %,119,0,76.1 %,38197,0 %,4458003514,205
Greenland,1975,49586,1.48 %,702,0,74.4 %,36887,0 %,4079480606,204
Greenland,1970,46074,3.95 %,1622,0,72.7 %,33516,0 %,3700437046,204
Greenland,1965,37964,3.98 %,1345,0,36.6 %,13905,0 %,3339583597,205
Greenland,1960,31239,3.86 %,1079,0,58.5 %,18285,0 %,3034949748,206
Greenland,1955,25846,2.36 %,570,0,53.8 %,13905,0 %,2773019936,205
