country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Guadeloupe,2020,400124,0.02 %,68,-1440,43.7,2.17,237,N.A.,N.A.,0.01 %,7794798739,176
Guadeloupe,2019,400056,0.05 %,208,-1440,42.3,2.19,237,N.A.,N.A.,0.01 %,7713468100,176
Guadeloupe,2018,399848,0.04 %,176,-1440,42.3,2.19,237,N.A.,N.A.,0.01 %,7631091040,176
Guadeloupe,2017,399672,-0.02 %,-91,-1440,42.3,2.19,236,N.A.,N.A.,0.01 %,7547858925,176
Guadeloupe,2016,399763,-0.12 %,-492,-1440,42.3,2.19,237,N.A.,N.A.,0.01 %,7464022049,176
Guadeloupe,2015,400255,-0.29 %,-1163,-3168,41.9,2.19,237,N.A.,N.A.,0.01 %,7379797139,176
Guadeloupe,2010,406071,0.16 %,633,-2454,38.6,2.25,240,N.A.,N.A.,0.01 %,6956823603,174
Guadeloupe,2005,402904,-0.92 %,-3829,-7624,35.6,2.19,238,N.A.,N.A.,0.01 %,6541907027,174
Guadeloupe,2000,422051,0.89 %,3663,-595,32.2,2.10,250,99.0 %,417852,0.01 %,6143493823,171
Guadeloupe,1995,403738,0.73 %,2898,-1639,30.4,2.10,239,97.5 %,393796,0.01 %,5744212979,169
Guadeloupe,1990,389249,2.58 %,9304,4221,27.8,2.45,230,95.5 %,371885,0.01 %,5327231061,168
Guadeloupe,1985,342730,0.36 %,1209,-2971,24.8,2.55,203,97.9 %,335697,0.01 %,4870921740,170
Guadeloupe,1980,336685,0.49 %,1638,-3714,21.4,3.52,199,89.2 %,300475,0.01 %,4458003514,166
Guadeloupe,1975,328493,0.41 %,1322,-5337,18.6,4.49,194,85.8 %,281806,0.01 %,4079480606,164
Guadeloupe,1970,321883,1.41 %,4365,-3181,18.1,5.22,190,78.8 %,253488,0.01 %,3700437046,163
Guadeloupe,1965,300056,1.75 %,4979,-2196,17.6,5.61,178,70.4 %,211231,0.01 %,3339583597,164
Guadeloupe,1960,275161,3.11 %,7819,1101,19.2,5.61,163,59.4 %,163550,0.01 %,3034949748,163
Guadeloupe,1955,236064,2.37 %,5212,-561,20.3,5.61,140,47.5 %,112074,0.01 %,2773019936,164
