country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Guam,2020,168775,0.89 %,1481,-506,31.4,2.32,313,94.9 %,160185,0.00 %,7794798739,191
Guam,2019,167294,0.92 %,1526,-506,30.3,2.42,310,94.8 %,158647,0.00 %,7713468100,191
Guam,2018,165768,0.91 %,1487,-506,30.3,2.42,307,94.8 %,157067,0.00 %,7631091040,191
Guam,2017,164281,0.82 %,1330,-506,30.3,2.42,304,94.7 %,155523,0.00 %,7547858925,191
Guam,2016,162951,0.68 %,1098,-506,30.3,2.42,302,94.6 %,154127,0.00 %,7464022049,191
Guam,2015,161853,0.30 %,482,-1519,30.1,2.45,300,94.5 %,152953,0.00 %,7379797139,191
Guam,2010,159444,0.13 %,208,-1955,29.2,2.54,295,94.1 %,150035,0.00 %,6956823603,191
Guam,2005,158402,0.39 %,615,-1911,28.3,2.74,293,93.6 %,148314,0.00 %,6541907027,189
Guam,2000,155329,1.31 %,1954,-823,27.3,2.88,288,93.1 %,144657,0.00 %,6143493823,188
Guam,1995,145561,2.21 %,3016,348,26.3,2.88,270,92.1 %,133996,0.00 %,5744212979,187
Guam,1990,130482,2.28 %,2782,20,25.2,3.14,242,90.8 %,118472,0.00 %,5327231061,189
Guam,1985,116572,2.28 %,2488,22,23.9,3.08,216,92.3 %,107641,0.00 %,4870921740,189
Guam,1980,104133,2.21 %,2156,-302,22.6,3.52,193,93.8 %,97627,0.00 %,4458003514,189
Guam,1975,93352,2.16 %,1895,-426,21.6,4.12,173,83.6 %,78072,0.00 %,4079480606,189
Guam,1970,83877,2.31 %,1809,-288,20.7,4.72,155,61.9 %,51936,0.00 %,3700437046,191
Guam,1965,74830,2.31 %,1618,-581,20.9,6.03,139,55.5 %,41567,0.00 %,3339583597,188
Guam,1960,66742,1.28 %,820,-910,21.2,5.83,124,50.1 %,33469,0.00 %,3034949748,188
Guam,1955,62641,0.98 %,598,-768,22.3,5.53,116,45.7 %,28605,0.00 %,2773019936,188
