country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Guinea,2020,13132795,2.83 %,361549,-4000,18.0,4.74,53,38.6 %,5070656,0.17 %,7794798739,75
Guinea,2019,12771246,2.88 %,356953,-4000,17.3,5.05,52,38.3 %,4890393,0.17 %,7713468100,75
Guinea,2018,12414293,2.87 %,346774,-4000,17.3,5.05,51,38.0 %,4717171,0.16 %,7631091040,75
Guinea,2017,12067519,2.80 %,329090,-4000,17.3,5.05,49,37.7 %,4551855,0.16 %,7547858925,75
Guinea,2016,11738429,2.68 %,306341,-4000,17.3,5.05,48,37.4 %,4395623,0.16 %,7464022049,75
Guinea,2015,11432088,2.32 %,247982,-58750,17.1,5.13,47,37.2 %,4249131,0.15 %,7379797139,75
Guinea,2010,10192176,2.27 %,216519,-62284,16.7,5.54,41,35.7 %,3635259,0.15 %,6956823603,81
Guinea,2005,9109581,2.02 %,173770,-70000,16.4,5.91,37,34.3 %,3122424,0.14 %,6541907027,86
Guinea,2000,8240730,2.54 %,194221,-36220,16.7,6.24,34,33.0 %,2719112,0.13 %,6143493823,88
Guinea,1995,7269625,2.73 %,183468,-26995,17.0,6.51,30,31.9 %,2320034,0.13 %,5744212979,90
Guinea,1990,6352283,3.03 %,176316,0,17.5,6.63,26,26.7 %,1693072,0.12 %,5327231061,92
Guinea,1985,5470702,2.35 %,119853,-16665,17.8,6.59,22,24.7 %,1353622,0.11 %,4870921740,92
Guinea,1980,4871435,1.64 %,76037,-31339,18.3,6.45,20,21.9 %,1065557,0.11 %,4458003514,95
Guinea,1975,4491248,1.57 %,67329,-17514,19.0,6.29,18,19.0 %,851729,0.11 %,4079480606,95
Guinea,1970,4154605,1.79 %,70580,0,19.2,6.21,17,16.2 %,674210,0.11 %,3700437046,95
Guinea,1965,3801705,1.70 %,61509,0,19.6,6.15,15,13.2 %,503254,0.11 %,3339583597,90
Guinea,1960,3494162,1.59 %,52903,0,20.1,6.07,14,10.7 %,374618,0.12 %,3034949748,92
Guinea,1955,3229649,1.40 %,43340,0,20.8,6.00,13,8.6 %,278619,0.12 %,2773019936,90
