country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Hong Kong,2020,7496981,0.82 %,60827,29308,44.8,1.33,7140,N.A.,N.A.,0.10 %,7794798739,104
Hong Kong,2019,7436154,0.87 %,64424,29308,43.5,1.23,7082,N.A.,N.A.,0.10 %,7713468100,104
Hong Kong,2018,7371730,0.90 %,65408,29308,43.5,1.23,7021,N.A.,N.A.,0.10 %,7631091040,104
Hong Kong,2017,7306322,0.87 %,62780,29308,43.5,1.23,6958,N.A.,N.A.,0.10 %,7547858925,104
Hong Kong,2016,7243542,0.80 %,57546,29308,43.5,1.23,6899,N.A.,N.A.,0.10 %,7464022049,104
Hong Kong,2015,7185996,0.62 %,43933,14978,43.2,1.20,6844,N.A.,N.A.,0.10 %,7379797139,104
Hong Kong,2010,6966331,0.57 %,39351,17949,41.2,1.04,6635,N.A.,N.A.,0.10 %,6956823603,103
Hong Kong,2005,6769574,0.49 %,32649,12959,39.1,0.95,6447,N.A.,N.A.,0.10 %,6541907027,99
Hong Kong,2000,6606327,1.66 %,104420,75137,36.2,1.06,6292,N.A.,N.A.,0.11 %,6143493823,95
Hong Kong,1995,6084227,1.21 %,71258,31297,34.0,1.26,5795,N.A.,N.A.,0.11 %,5744212979,93
Hong Kong,1990,5727938,1.61 %,88183,44252,31.0,1.36,5455,N.A.,N.A.,0.11 %,5327231061,94
Hong Kong,1985,5287022,1.66 %,83656,32121,28.3,1.72,5035,93.8 %,4959721,0.11 %,4870921740,93
Hong Kong,1980,4868742,2.96 %,131957,78097,25.7,2.23,4637,92.4 %,4496588,0.11 %,4458003514,96
Hong Kong,1975,4208955,1.80 %,72006,14794,23.1,3.01,4009,90.3 %,3799487,0.10 %,4079480606,97
Hong Kong,1970,3848924,2.11 %,76341,14318,21.7,3.65,3666,88.3 %,3397839,0.10 %,3700437046,97
Hong Kong,1965,3467220,2.62 %,84234,-5477,21.3,5.05,3302,87.0 %,3015435,0.10 %,3339583597,106
Hong Kong,1960,3046050,4.26 %,114678,32793,23.4,4.72,2901,85.7 %,2611539,0.10 %,3034949748,98
Hong Kong,1955,2472658,4.61 %,99732,29848,24.0,4.44,2355,85.8 %,2121568,0.09 %,2773019936,106
