country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Iceland,2020,341243,0.65 %,2212,380,37.5,1.77,3,94.4 %,322286,0.00 %,7794798739,180
Iceland,2019,339031,0.69 %,2318,380,36.3,1.94,3,94.3 %,319637,0.00 %,7713468100,180
Iceland,2018,336713,0.69 %,2320,380,36.3,1.94,3,94.1 %,316881,0.00 %,7631091040,180
Iceland,2017,334393,0.66 %,2187,380,36.3,1.94,3,94.0 %,314163,0.00 %,7547858925,180
Iceland,2016,332206,0.59 %,1963,380,36.3,1.94,3,93.8 %,311646,0.00 %,7464022049,180
Iceland,2015,330243,0.61 %,1983,-433,36.0,1.98,3,93.7 %,309438,0.00 %,7379797139,180
Iceland,2010,320328,1.66 %,5070,2401,34.8,2.13,3,93.6 %,299745,0.00 %,6956823603,180
Iceland,2005,294979,1.02 %,2909,588,34.3,1.99,3,93.0 %,274440,0.00 %,6541907027,179
Iceland,2000,280435,0.94 %,2561,204,32.9,2.06,3,92.4 %,259125,0.00 %,6143493823,178
Iceland,1995,267629,0.97 %,2517,-211,31.5,2.19,3,91.6 %,245228,0.00 %,5744212979,177
Iceland,1990,255043,1.09 %,2692,129,30.0,2.12,3,90.8 %,231452,0.00 %,5327231061,178
Iceland,1985,241582,1.14 %,2664,52,28.4,2.23,2,89.6 %,216386,0.00 %,4870921740,176
Iceland,1980,228262,0.92 %,2038,-786,26.9,2.45,2,88.3 %,201464,0.01 %,4458003514,175
Iceland,1975,218070,1.30 %,2729,-212,25.4,2.87,2,86.7 %,188999,0.01 %,4079480606,174
Iceland,1970,204426,1.23 %,2423,-551,24.5,3.24,2,84.9 %,173558,0.01 %,3700437046,173
Iceland,1965,192313,1.84 %,3344,-146,24.2,3.94,2,82.7 %,159082,0.01 %,3339583597,171
Iceland,1960,175592,2.18 %,3590,65,25.4,4.17,2,80.3 %,141000,0.01 %,3034949748,170
Iceland,1955,157642,2.02 %,2997,-83,26.2,3.86,2,76.8 %,121006,0.01 %,2773019936,171
