country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Indonesia,2020,273523615,1.07 %,2898047,-98955,29.7,2.32,151,56.4 %,154188546,3.51 %,7794798739,4
Indonesia,2019,270625568,1.10 %,2955025,-98955,28.8,2.42,149,55.8 %,150900390,3.51 %,7713468100,4
Indonesia,2018,267670543,1.14 %,3019580,-98955,28.8,2.42,148,55.1 %,147603006,3.51 %,7631091040,4
Indonesia,2017,264650963,1.18 %,3094582,-98955,28.8,2.42,146,54.5 %,144294861,3.51 %,7547858925,4
Indonesia,2016,261556381,1.23 %,3173125,-98955,28.8,2.42,144,53.9 %,140972925,3.50 %,7464022049,4
Indonesia,2015,258383256,1.33 %,3309808,-90889,28.5,2.45,143,53.3 %,137634761,3.50 %,7379797139,4
Indonesia,2010,241834215,1.34 %,3108949,-266737,27.2,2.50,133,50.1 %,121052980,3.48 %,6956823603,4
Indonesia,2005,226289470,1.36 %,2955129,-229931,25.6,2.53,125,46.0 %,104155654,3.46 %,6541907027,4
Indonesia,2000,211513823,1.44 %,2915913,-13534,24.4,2.55,117,42.0 %,88851487,3.44 %,6143493823,4
Indonesia,1995,196934260,1.66 %,3104172,-7082,22.8,2.90,109,36.1 %,71053577,3.43 %,5744212979,4
Indonesia,1990,181413402,1.92 %,3286190,52256,21.3,3.40,100,30.6 %,55491343,3.41 %,5327231061,4
Indonesia,1985,164982451,2.27 %,3506923,95016,19.9,4.11,91,26.1 %,43049412,3.39 %,4870921740,4
Indonesia,1980,147447836,2.44 %,3353422,75749,19.1,4.73,81,22.1 %,32601807,3.31 %,4458003514,4
Indonesia,1975,130680727,2.63 %,3177510,101655,18.5,5.30,72,19.3 %,25252096,3.20 %,4079480606,5
Indonesia,1970,114793178,2.74 %,2905223,111212,18.6,5.57,63,17.1 %,19603959,3.10 %,3700437046,5
Indonesia,1965,100267062,2.70 %,2503199,89993,19.4,5.62,55,15.8 %,15838170,3.00 %,3339583597,6
Indonesia,1960,87751068,2.58 %,2095529,80536,20.2,5.67,48,14.6 %,12805184,2.89 %,3034949748,6
Indonesia,1955,77273425,2.13 %,1546022,75743,20.4,5.49,43,13.5 %,10404671,2.79 %,2773019936,6
