country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Japan,2020,126476461,-0.30 %,-383840,71560,48.4,1.37,347,91.8 %,116099672,1.62 %,7794798739,11
Japan,2019,126860301,-0.27 %,-341891,71560,46.7,1.40,348,91.7 %,116322813,1.64 %,7713468100,11
Japan,2018,127202192,-0.24 %,-300533,71560,46.7,1.40,349,91.6 %,116521525,1.67 %,7631091040,10
Japan,2017,127502725,-0.20 %,-260540,71560,46.7,1.40,350,91.5 %,116693276,1.69 %,7547858925,10
Japan,2016,127763265,-0.17 %,-221868,71560,46.7,1.40,350,91.4 %,116835097,1.71 %,7464022049,10
Japan,2015,127985133,-0.09 %,-111444,71627,46.4,1.41,351,91.4 %,116944428,1.73 %,7379797139,10
Japan,2010,128542353,0.03 %,43247,55516,44.7,1.34,353,90.8 %,116741034,1.85 %,6956823603,10
Japan,2005,128326116,0.13 %,160388,32840,43.0,1.30,352,86.0 %,110340709,1.96 %,6541907027,10
Japan,2000,127524174,0.18 %,231738,-20067,41.2,1.37,350,78.7 %,100303716,2.08 %,6143493823,9
Japan,1995,126365484,0.30 %,372049,9257,39.4,1.48,347,78.0 %,98593178,2.20 %,5744212979,7
Japan,1990,124505240,0.43 %,524352,-59668,37.3,1.65,342,77.3 %,96298507,2.34 %,5327231061,7
Japan,1985,121883482,0.68 %,813308,10000,35.0,1.76,334,76.7 %,93507944,2.50 %,4870921740,7
Japan,1980,117816940,0.94 %,1080716,41001,32.5,1.83,323,76.2 %,89755553,2.64 %,4458003514,7
Japan,1975,112413359,1.39 %,1496822,142987,30.3,2.13,308,75.7 %,85121987,2.76 %,4079480606,6
Japan,1970,104929251,1.28 %,1296450,164541,28.8,2.04,288,71.9 %,75417163,2.84 %,3700437046,6
Japan,1965,98447002,1.00 %,954677,-30270,27.2,2.03,270,67.9 %,66812422,2.95 %,3339583597,5
Japan,1960,93673615,1.02 %,931072,-20000,25.4,2.17,257,63.3 %,59269408,3.09 %,3034949748,5
Japan,1955,89018257,1.46 %,1243235,0,23.6,2.96,244,58.4 %,52005319,3.21 %,2773019936,5
