country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Kenya,2020,53771296,2.28 %,1197323,-10000,20.1,3.52,94,27.8 %,14975059,0.69 %,7794798739,27
Kenya,2019,52573973,2.30 %,1181408,-10000,19.1,3.95,92,27.3 %,14362838,0.68 %,7713468100,27
Kenya,2018,51392565,2.33 %,1171423,-10000,19.1,3.95,90,26.8 %,13771805,0.67 %,7631091040,27
Kenya,2017,50221142,2.38 %,1169608,-10000,19.1,3.95,88,26.3 %,13201347,0.67 %,7547858925,28
Kenya,2016,49051534,2.45 %,1173198,-10000,19.1,3.95,86,25.8 %,12650834,0.66 %,7464022049,28
Kenya,2015,47878336,2.64 %,1169532,-10000,18.9,4.06,84,25.3 %,12119756,0.65 %,7379797139,28
Kenya,2010,42030676,2.79 %,1081156,-37866,18.1,4.65,74,23.2 %,9746669,0.60 %,6956823603,31
Kenya,2005,36624895,2.76 %,932068,5029,17.6,5.00,64,21.3 %,7813454,0.56 %,6541907027,33
Kenya,2000,31964557,2.85 %,839252,-4277,17.0,5.35,56,19.6 %,6256185,0.52 %,6143493823,33
Kenya,1995,27768296,3.20 %,808743,44314,16.4,5.65,49,18.0 %,4994299,0.48 %,5744212979,35
Kenya,1990,23724579,3.60 %,769499,1005,15.4,6.54,42,16.5 %,3919437,0.45 %,5327231061,36
Kenya,1985,19877083,3.90 %,691977,761,15.0,7.22,35,15.9 %,3159732,0.41 %,4870921740,37
Kenya,1980,16417197,3.87 %,568258,-586,15.0,7.64,29,15.4 %,2535258,0.37 %,4458003514,40
Kenya,1975,13575907,3.74 %,454903,-3583,15.1,7.99,24,12.8 %,1741729,0.33 %,4079480606,45
Kenya,1970,11301394,3.47 %,354244,-3907,15.4,8.11,20,10.3 %,1158465,0.31 %,3700437046,47
Kenya,1965,9530173,3.25 %,282019,-4000,15.8,8.07,17,8.6 %,817908,0.29 %,3339583597,58
Kenya,1960,8120080,3.05 %,226484,0,17.1,7.79,14,7.3 %,596757,0.27 %,3034949748,56
Kenya,1955,6987658,2.83 %,182180,0,18.9,7.48,12,6.4 %,448051,0.25 %,2773019936,58
