country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Madagascar,2020,27691018,2.68 %,721711,-1500,19.6,4.11,48,38.5 %,10670252,0.36 %,7794798739,51
Madagascar,2019,26969307,2.69 %,706994,-1500,18.9,4.34,46,37.9 %,10211029,0.35 %,7713468100,51
Madagascar,2018,26262313,2.71 %,691801,-1500,18.9,4.34,45,37.2 %,9767285,0.34 %,7631091040,51
Madagascar,2017,25570512,2.72 %,676142,-1500,18.9,4.34,44,36.5 %,9339025,0.34 %,7547858925,51
Madagascar,2016,24894370,2.72 %,660282,-1500,18.9,4.34,43,35.9 %,8926246,0.33 %,7464022049,52
Madagascar,2015,24234088,2.76 %,616490,-1500,18.7,4.40,42,35.2 %,8528793,0.33 %,7379797139,52
Madagascar,2010,21151640,2.90 %,562983,-1500,18.0,4.83,36,31.9 %,6755337,0.30 %,6956823603,55
Madagascar,2005,18336724,3.07 %,513984,-1500,17.5,5.28,32,28.8 %,5283543,0.28 %,6541907027,58
Madagascar,2000,15766806,3.19 %,458281,-1700,17.3,5.80,27,27.1 %,4276171,0.26 %,6143493823,59
Madagascar,1995,13475400,3.05 %,375353,-1900,17.2,6.10,23,25.8 %,3476130,0.23 %,5744212979,62
Madagascar,1990,11598633,2.88 %,307028,-2000,17.1,6.25,20,23.6 %,2733282,0.22 %,5327231061,62
Madagascar,1985,10063495,2.92 %,269388,-2000,16.9,6.50,17,20.9 %,2106614,0.21 %,4870921740,62
Madagascar,1980,8716553,2.90 %,232105,-6000,16.8,6.95,15,18.5 %,1614681,0.20 %,4458003514,67
Madagascar,1975,7556026,2.82 %,195944,-3800,17.0,7.20,13,16.3 %,1234215,0.19 %,4079480606,67
Madagascar,1970,6576305,2.65 %,161417,-1600,17.2,7.30,11,14.1 %,927259,0.18 %,3700437046,68
Madagascar,1965,5769218,2.50 %,133969,0,17.9,7.30,10,12.4 %,714199,0.17 %,3339583597,73
Madagascar,1960,5099373,2.34 %,111166,0,19.2,7.30,9,10.6 %,542656,0.17 %,3034949748,73
Madagascar,1955,4543542,2.16 %,91998,0,20.2,7.30,8,9.1 %,414442,0.16 %,2773019936,73
