country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Malaysia,2020,32365999,1.30 %,416222,50000,30.3,2.01,99,78.4 %,25361963,0.42 %,7794798739,45
Malaysia,2019,31949777,1.34 %,421744,50000,28.6,2.09,97,77.8 %,24862312,0.41 %,7713468100,44
Malaysia,2018,31528033,1.36 %,423387,50000,28.6,2.09,96,77.3 %,24363730,0.41 %,7631091040,44
Malaysia,2017,31104646,1.37 %,419992,50000,28.6,2.09,95,76.7 %,23859450,0.41 %,7547858925,44
Malaysia,2016,30684654,1.37 %,413692,50000,28.6,2.09,93,76.1 %,23340549,0.41 %,7464022049,44
Malaysia,2015,30270962,1.42 %,412585,50000,28.2,2.11,92,75.3 %,22800563,0.41 %,7379797139,44
Malaysia,2010,28208035,1.89 %,503485,152376,26.0,2.22,86,70.7 %,19934949,0.41 %,6956823603,44
Malaysia,2005,25690611,2.07 %,499271,134295,25.0,2.45,78,66.5 %,17087554,0.39 %,6541907027,44
Malaysia,2000,23194257,2.51 %,541330,103338,23.8,3.13,71,62.0 %,14369654,0.38 %,6143493823,44
Malaysia,1995,20487607,2.59 %,491557,58471,22.5,3.44,62,55.7 %,11413601,0.36 %,5744212979,45
Malaysia,1990,18029824,2.94 %,486179,85091,21.6,3.67,55,49.8 %,8981973,0.34 %,5327231061,45
Malaysia,1985,15598927,2.48 %,360168,-15457,20.5,3.97,47,45.9 %,7158888,0.32 %,4870921740,48
Malaysia,1980,13798085,2.56 %,327180,-1089,19.5,4.20,42,42.0 %,5801245,0.31 %,4458003514,49
Malaysia,1975,12162187,2.40 %,271611,-27061,18.6,4.72,37,37.7 %,4579380,0.30 %,4079480606,49
Malaysia,1970,10804131,2.55 %,255515,-27856,17.6,5.38,33,33.5 %,3614368,0.29 %,3700437046,49
Malaysia,1965,9526558,3.15 %,274042,-11720,16.9,6.37,29,29.9 %,2849667,0.29 %,3339583597,57
Malaysia,1960,8156347,2.99 %,223487,-12568,17.6,6.38,25,26.6 %,2169592,0.27 %,3034949748,52
Malaysia,1955,7038913,2.87 %,185800,-3436,18.5,6.35,21,23.4 %,1648504,0.25 %,2773019936,57
