country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Malta,2020,441543,0.27 %,1171,900,42.6,1.45,1380,93.2 %,411533,0.01 %,7794798739,174
Malta,2019,440372,0.26 %,1124,900,41.4,1.41,1376,93.1 %,410188,0.01 %,7713468100,174
Malta,2018,439248,0.30 %,1315,900,41.4,1.41,1373,93.1 %,408809,0.01 %,7631091040,174
Malta,2017,437933,0.42 %,1836,900,41.4,1.41,1369,93.0 %,407337,0.01 %,7547858925,174
Malta,2016,436097,0.59 %,2538,900,41.4,1.41,1363,93.0 %,405661,0.01 %,7464022049,174
Malta,2015,433559,0.92 %,3861,3101,41.1,1.40,1355,93.1 %,403728,0.01 %,7379797139,174
Malta,2010,414253,0.47 %,1920,1147,40.2,1.39,1295,94.5 %,391441,0.01 %,6956823603,173
Malta,2005,404653,0.55 %,2202,1122,38.4,1.47,1265,94.1 %,380936,0.01 %,6541907027,173
Malta,2000,393645,0.87 %,3350,1276,36.5,1.85,1230,93.1 %,366394,0.01 %,6143493823,173
Malta,1995,376896,0.81 %,2976,326,35.0,2.01,1178,91.8 %,345871,0.01 %,5744212979,172
Malta,1990,362015,0.89 %,3153,232,33.1,2.03,1131,91.0 %,329377,0.01 %,5327231061,170
Malta,1985,346250,0.87 %,2951,511,31.6,1.97,1082,90.6 %,313678,0.01 %,4870921740,169
Malta,1980,331497,0.56 %,1828,-969,31.0,2.12,1036,90.3 %,299232,0.01 %,4458003514,167
Malta,1975,322356,0.11 %,362,-1936,29.1,2.01,1007,89.9 %,289707,0.01 %,4079480606,166
Malta,1970,320545,-0.11 %,-339,-2520,26.9,2.12,1002,89.6 %,287114,0.01 %,3700437046,164
Malta,1965,322242,0.59 %,1854,-2342,24.3,3.15,1007,89.5 %,288356,0.01 %,3339583597,157
Malta,1960,312973,-0.04 %,-111,-5545,23.0,3.80,978,89.7 %,280781,0.01 %,3034949748,160
Malta,1955,313526,0.10 %,305,-5843,21.9,4.15,980,89.7 %,281301,0.01 %,2773019936,157
