country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mauritania,2020,4649658,2.74 %,123962,5000,20.1,4.59,5,56.9 %,2646714,0.06 %,7794798739,127
Mauritania,2019,4525696,2.78 %,122383,5000,19.7,4.82,4,56.1 %,2540632,0.06 %,7713468100,127
Mauritania,2018,4403313,2.82 %,120743,5000,19.7,4.82,4,55.3 %,2436744,0.06 %,7631091040,127
Mauritania,2017,4282570,2.86 %,119037,5000,19.7,4.82,4,54.5 %,2334906,0.06 %,7547858925,127
Mauritania,2016,4163533,2.90 %,117232,5000,19.7,4.82,4,53.7 %,2234912,0.06 %,7464022049,128
Mauritania,2015,4046301,2.98 %,110421,5000,19.6,4.88,4,52.8 %,2136699,0.05 %,7379797139,129
Mauritania,2010,3494195,2.93 %,94000,2000,19.1,5.07,3,48.1 %,1681621,0.05 %,6956823603,132
Mauritania,2005,3024194,2.83 %,78795,-2001,18.5,5.30,3,43.6 %,1318368,0.05 %,6541907027,135
Mauritania,2000,2630219,2.60 %,63318,-8801,17.9,5.52,3,39.2 %,1032034,0.04 %,6143493823,137
Mauritania,1995,2313630,2.61 %,55857,-8924,17.6,5.72,2,38.9 %,900703,0.04 %,5744212979,137
Mauritania,1990,2034346,2.71 %,50863,-8000,17.4,6.05,2,39.2 %,798307,0.04 %,5327231061,140
Mauritania,1985,1780030,2.93 %,47878,-3220,17.3,6.30,2,34.8 %,619375,0.04 %,4870921740,140
Mauritania,1980,1540640,2.97 %,42008,-1940,17.1,6.57,1,27.3 %,419900,0.03 %,4458003514,140
Mauritania,1975,1330598,3.02 %,36764,-1190,16.9,6.75,1,20.5 %,273299,0.03 %,4079480606,141
Mauritania,1970,1146780,3.07 %,32174,-552,17.0,6.79,1,14.6 %,167332,0.03 %,3700437046,141
Mauritania,1965,985910,3.00 %,27105,-364,17.4,6.79,1,10.2 %,100130,0.03 %,3339583597,143
Mauritania,1960,850384,2.87 %,22417,-320,17.8,6.71,1,6.9 %,59044,0.03 %,3034949748,142
Mauritania,1955,738299,2.53 %,17373,-260,18.0,6.34,1,4.7 %,34636,0.03 %,2773019936,143
