country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mauritius,2020,1271768,0.17 %,2100,0,37.5,1.39,626,40.8 %,519330,0.02 %,7794798739,157
Mauritius,2019,1269668,0.20 %,2483,0,35.9,1.47,625,40.8 %,518289,0.02 %,7713468100,157
Mauritius,2018,1267185,0.21 %,2686,0,35.9,1.47,624,40.8 %,517387,0.02 %,7631091040,157
Mauritius,2017,1264499,0.21 %,2634,0,35.9,1.47,623,40.9 %,516698,0.02 %,7547858925,155
Mauritius,2016,1261865,0.19 %,2409,0,35.9,1.47,622,40.9 %,516339,0.02 %,7464022049,155
Mauritius,2015,1259456,0.18 %,2300,-2416,35.6,1.49,620,41.0 %,516377,0.02 %,7379797139,155
Mauritius,2010,1247955,0.42 %,5190,-2416,32.9,1.70,615,41.6 %,518584,0.02 %,6956823603,154
Mauritius,2005,1222003,0.61 %,7372,-3874,30.5,1.93,602,42.1 %,514605,0.02 %,6541907027,153
Mauritius,2000,1185145,0.98 %,11294,-1772,29.0,2.03,584,42.7 %,505705,0.02 %,6143493823,153
Mauritius,1995,1128673,1.34 %,14561,-1122,26.8,2.25,556,43.3 %,488537,0.02 %,5744212979,150
Mauritius,1990,1055868,0.78 %,8021,-7195,24.9,2.31,520,43.9 %,463526,0.02 %,5327231061,150
Mauritius,1985,1015762,1.01 %,9946,-4326,23.1,2.30,500,42.3 %,429921,0.02 %,4870921740,150
Mauritius,1980,966031,1.60 %,14764,-4123,21.5,3.11,476,42.4 %,409127,0.02 %,4458003514,149
Mauritius,1975,892211,1.54 %,13154,-4093,19.5,3.47,440,43.4 %,387600,0.02 %,4079480606,147
Mauritius,1970,826441,1.87 %,14631,-5831,17.8,4.61,407,42.6 %,351699,0.02 %,3700437046,145
Mauritius,1965,753285,2.68 %,18652,-6174,16.7,6.20,371,38.8 %,292028,0.02 %,3339583597,146
Mauritius,1960,660023,2.95 %,17875,-1619,16.7,5.90,325,35.1 %,231739,0.02 %,3034949748,145
Mauritius,1955,570648,2.96 %,15479,532,16.9,5.90,281,31.6 %,180433,0.02 %,2773019936,146
