country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mayotte,2020,272815,2.50 %,6665,0,20.1,3.73,728,45.8 %,124952,0.00 %,7794798739,186
Mayotte,2019,266150,2.55 %,6619,0,19.2,4.02,710,46.0 %,122357,0.00 %,7713468100,186
Mayotte,2018,259531,2.60 %,6574,0,19.2,4.02,692,46.2 %,119837,0.00 %,7631091040,186
Mayotte,2017,252957,2.64 %,6507,0,19.2,4.02,675,46.4 %,117401,0.00 %,7547858925,186
Mayotte,2016,246450,2.68 %,6430,0,19.2,4.02,657,46.7 %,115050,0.00 %,7464022049,186
Mayotte,2015,240020,2.83 %,6260,-300,19.0,4.10,640,47.0 %,112783,0.00 %,7379797139,186
Mayotte,2010,208718,3.22 %,6124,-400,18.5,4.60,557,49.0 %,102176,0.00 %,6956823603,186
Mayotte,2005,178098,3.45 %,5553,40,18.3,4.80,475,50.2 %,89462,0.00 %,6541907027,187
Mayotte,2000,150331,4.06 %,5430,933,17.7,5.08,401,47.7 %,71754,0.00 %,6143493823,189
Mayotte,1995,123181,5.38 %,5679,2147,17.0,5.25,328,41.5 %,51068,0.00 %,5744212979,192
Mayotte,1990,94784,5.62 %,4536,1211,15.9,6.73,253,36.1 %,34176,0.00 %,5327231061,197
Mayotte,1985,72104,5.51 %,3393,759,15.6,7.35,192,33.0 %,23794,0.00 %,4870921740,198
Mayotte,1980,55137,3.92 %,1931,-197,15.4,7.91,147,30.1 %,16585,0.00 %,4458003514,204
Mayotte,1975,45483,4.23 %,1703,99,15.6,7.91,121,27.5 %,12528,0.00 %,4079480606,205
Mayotte,1970,36969,3.90 %,1289,91,16.7,7.91,99,25.1 %,9296,0.00 %,3700437046,207
Mayotte,1965,30526,4.91 %,1302,463,17.9,7.91,81,22.0 %,6726,0.00 %,3339583597,210
Mayotte,1960,24015,4.81 %,1006,492,19.4,7.91,64,16.3 %,3922,0.00 %,3034949748,207
Mayotte,1955,18985,4.63 %,769,524,22.7,7.91,51,11.9 %,2256,0.00 %,2773019936,210
