country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Montenegro,2020,628066,0.01 %,79,-480,38.8,1.75,47,67.6 %,424767,0.01 %,7794798739,168
Montenegro,2019,627987,0.03 %,178,-480,37.9,1.72,47,67.3 %,422615,0.01 %,7713468100,168
Montenegro,2018,627809,0.04 %,246,-480,37.9,1.72,47,67.0 %,420403,0.01 %,7631091040,168
Montenegro,2017,627563,0.05 %,299,-480,37.9,1.72,47,66.6 %,418113,0.01 %,7547858925,167
Montenegro,2016,627264,0.05 %,308,-480,37.9,1.72,47,66.3 %,415772,0.01 %,7464022049,166
Montenegro,2015,626956,0.09 %,536,-622,37.7,1.71,47,65.9 %,413376,0.01 %,7379797139,166
Montenegro,2010,624275,0.25 %,1577,-137,36.4,1.82,46,64.1 %,400419,0.01 %,6956823603,166
Montenegro,2005,616391,0.09 %,566,-1600,35.0,1.85,46,62.5 %,385027,0.01 %,6541907027,165
Montenegro,2000,613559,-0.22 %,-1372,-4318,34.4,1.91,46,58.5 %,359202,0.01 %,6143493823,162
Montenegro,1995,620418,0.18 %,1083,-4050,32.2,2.05,46,53.4 %,331085,0.01 %,5744212979,161
Montenegro,1990,615002,0.03 %,197,-5993,29.8,2.11,46,48.0 %,295431,0.01 %,5327231061,159
Montenegro,1985,614016,1.12 %,6652,-400,28.3,2.21,46,42.3 %,259884,0.01 %,4870921740,159
Montenegro,1980,580754,0.94 %,5298,-1480,26.7,2.31,43,36.8 %,213791,0.01 %,4458003514,159
Montenegro,1975,554262,1.30 %,6913,-400,24.9,2.62,41,31.6 %,175266,0.01 %,4079480606,156
Montenegro,1970,519696,-0.53 %,-2824,-10755,24.1,2.89,39,26.9 %,139552,0.01 %,3700437046,156
Montenegro,1965,533814,1.84 %,9280,-400,23.5,3.42,40,22.6 %,120459,0.02 %,3339583597,153
Montenegro,1960,487413,1.89 %,8724,-400,22.9,3.80,36,18.8 %,91576,0.02 %,3034949748,153
Montenegro,1955,443795,2.37 %,9811,2000,22.2,4.35,33,15.5 %,68854,0.02 %,2773019936,153
