country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Myanmar,2020,54409800,0.67 %,364380,-163313,29.0,2.17,83,31.4 %,17068066,0.70 %,7794798739,26
Myanmar,2019,54045420,0.63 %,337100,-163313,27.8,2.23,83,31.0 %,16763626,0.70 %,7713468100,26
Myanmar,2018,53708320,0.61 %,325797,-163313,27.8,2.23,82,30.7 %,16468361,0.70 %,7631091040,26
Myanmar,2017,53382523,0.64 %,337322,-163313,27.8,2.23,82,30.3 %,16183083,0.71 %,7547858925,26
Myanmar,2016,53045201,0.69 %,364475,-163313,27.8,2.23,81,30.0 %,15908841,0.71 %,7464022049,26
Myanmar,2015,52680726,0.81 %,415982,-105642,27.5,2.25,81,29.7 %,15646537,0.71 %,7379797139,25
Myanmar,2010,50600818,0.67 %,330179,-267386,26.1,2.50,77,28.6 %,14487449,0.73 %,6956823603,25
Myanmar,2005,48949924,0.94 %,446045,-241618,24.5,2.80,75,27.7 %,13548744,0.75 %,6541907027,24
Myanmar,2000,46719701,1.25 %,563621,-107600,23.3,2.95,72,26.7 %,12457527,0.76 %,6143493823,26
Myanmar,1995,43901598,1.21 %,513280,-142741,22.0,3.20,67,25.7 %,11295542,0.76 %,5744212979,25
Myanmar,1990,41335199,1.71 %,671623,-40000,20.7,3.78,63,24.8 %,10255233,0.78 %,5327231061,25
Myanmar,1985,37977086,2.10 %,750555,-10931,19.6,4.60,58,23.9 %,9075330,0.78 %,4870921740,26
Myanmar,1980,34224313,2.26 %,722644,0,19.1,5.15,52,23.4 %,7999556,0.77 %,4458003514,27
Myanmar,1975,30611095,2.34 %,668405,0,18.7,5.74,47,23.2 %,7110236,0.75 %,4079480606,27
Myanmar,1970,27269069,2.37 %,601942,0,18.6,6.10,42,22.1 %,6022901,0.74 %,3700437046,27
Myanmar,1965,24259359,2.22 %,504483,0,19.3,6.10,37,20.2 %,4905378,0.73 %,3339583597,26
Myanmar,1960,21736942,2.14 %,437374,0,20.5,6.00,33,18.6 %,4034840,0.72 %,3034949748,27
Myanmar,1955,19550071,1.92 %,354089,0,21.5,6.00,30,17.0 %,3323690,0.71 %,2773019936,26
