country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Nauru,2019,10756,0.81 %,86,538,N.A.,N.A.,0.00 %,7713468100,227
Nauru,2018,10670,0.92 %,97,534,N.A.,N.A.,0.00 %,7631091040,227
Nauru,2017,10573,0.94 %,98,529,N.A.,N.A.,0.00 %,7547858925,227
Nauru,2016,10475,0.89 %,92,524,N.A.,N.A.,0 %,7464022049,227
Nauru,2015,10383,0.74 %,76,519,N.A.,N.A.,0 %,7379797139,227
Nauru,2010,10005,0.31 %,31,500,N.A.,N.A.,0 %,6956823603,227
Nauru,2005,9849,-0.96 %,-98,492,N.A.,N.A.,0 %,6541907027,227
Nauru,2000,10337,-0.55 %,-58,517,97.1 %,10037,0 %,6143493823,226
Nauru,1995,10628,2.26 %,225,531,93.8 %,9969,0 %,5744212979,225
Nauru,1990,9505,2.26 %,201,475,96.3 %,9155,0 %,5327231061,226
Nauru,1985,8501,1.89 %,152,425,96.1 %,8173,0 %,4870921740,226
Nauru,1980,7741,1.53 %,113,387,96.7 %,7488,0 %,4458003514,226
Nauru,1975,7175,1.83 %,125,359,98.5 %,7068,0 %,4079480606,224
Nauru,1970,6552,2.27 %,139,328,99.1 %,6496,0 %,3700437046,225
Nauru,1965,5856,6 %,296,293,61.8 %,3619,0 %,3339583597,229
Nauru,1960,4375,2.76 %,111,219,N.A.,N.A.,0 %,3034949748,229
Nauru,1955,3819,2.21 %,79,191,94.8 %,3619,0 %,2773019936,229
