country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Nepal,2020,29136808,1.85 %,528098,41710,24.6,1.93,203,21.4 %,6226233,0.37 %,7794798739,49
Nepal,2019,28608710,1.83 %,512996,41710,22.7,2.24,200,21.1 %,6034147,0.37 %,7713468100,49
Nepal,2018,28095714,1.68 %,463033,41710,22.7,2.24,196,20.8 %,5847671,0.37 %,7631091040,50
Nepal,2017,27632681,1.35 %,369248,41710,22.7,2.24,193,20.5 %,5666428,0.37 %,7547858925,50
Nepal,2016,27263433,0.92 %,248402,41710,22.7,2.24,190,20.1 %,5489899,0.37 %,7464022049,49
Nepal,2015,27015031,0.00 %,364,-408048,22.2,2.32,188,19.7 %,5317799,0.37 %,7379797139,49
Nepal,2010,27013212,0.97 %,253742,-194316,21.7,2.81,188,16.8 %,4531339,0.39 %,6956823603,46
Nepal,2005,25744500,1.46 %,360678,-154505,20.2,3.49,180,15.1 %,3884136,0.39 %,6541907027,43
Nepal,2000,23941110,2.10 %,473008,-92941,19.3,4.41,167,13.3 %,3180501,0.39 %,6143493823,41
Nepal,1995,21576071,2.68 %,534119,15213,19.0,4.97,151,10.8 %,2328505,0.38 %,5744212979,43
Nepal,1990,18905478,2.32 %,409434,-43281,18.7,5.33,132,8.8 %,1660139,0.35 %,5327231061,44
Nepal,1985,16858310,2.34 %,368382,-20229,19.0,5.62,118,7.3 %,1235180,0.35 %,4870921740,44
Nepal,1980,15016402,2.27 %,319207,-8200,19.3,5.80,105,6.0 %,907698,0.34 %,4458003514,44
Nepal,1975,13420369,2.14 %,269149,-1160,19.4,5.87,94,4.8 %,643695,0.33 %,4079480606,46
Nepal,1970,12074626,1.93 %,220343,-4215,19.2,5.96,84,3.9 %,474634,0.33 %,3700437046,45
Nepal,1965,10972912,1.66 %,173572,-14000,19.5,5.96,77,3.7 %,407893,0.33 %,3339583597,40
Nepal,1960,10105050,1.64 %,157627,-16046,19.9,5.96,70,3.5 %,350230,0.33 %,3034949748,41
Nepal,1955,9316916,1.89 %,166718,-8112,20.2,5.96,65,3.0 %,283756,0.34 %,2773019936,40
