country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Nigeria,2020,206139589,2.58 %,5175990,-60000,18.1,5.42,226,52.0 %,107112526,2.64 %,7794798739,7
Nigeria,2019,200963599,2.60 %,5088916,-60000,17.9,5.67,221,51.2 %,102805995,2.61 %,7713468100,7
Nigeria,2018,195874683,2.62 %,5001439,-60000,17.9,5.67,215,50.3 %,98610801,2.57 %,7631091040,7
Nigeria,2017,190873244,2.64 %,4913003,-60000,17.9,5.67,210,49.5 %,94525016,2.53 %,7547858925,7
Nigeria,2016,185960241,2.66 %,4822793,-60000,17.9,5.67,204,48.7 %,90546177,2.49 %,7464022049,7
Nigeria,2015,181137448,2.71 %,4526850,-60000,17.9,5.74,199,47.8 %,86673094,2.45 %,7379797139,7
Nigeria,2010,158503197,2.68 %,3927636,-60000,17.9,5.91,174,43.5 %,68949828,2.28 %,6956823603,7
Nigeria,2005,138865016,2.58 %,3316233,-34000,18.0,6.05,152,39.1 %,54288918,2.12 %,6541907027,9
Nigeria,2000,122283850,2.53 %,2867103,-19005,17.9,6.17,134,34.9 %,42627440,1.99 %,6143493823,10
Nigeria,1995,107948335,2.54 %,2547177,-19154,17.7,6.37,119,32.2 %,34785545,1.88 %,5744212979,10
Nigeria,1990,95212450,2.64 %,2329933,-18281,17.4,6.60,105,29.7 %,28276132,1.79 %,5327231061,10
Nigeria,1985,83562785,2.62 %,2027830,-135413,17.5,6.76,92,25.7 %,21434266,1.72 %,4870921740,10
Nigeria,1980,73423633,2.99 %,2009867,164143,18.0,6.76,81,22.0 %,16139321,1.65 %,4458003514,11
Nigeria,1975,63374298,2.51 %,1478431,-7705,18.3,6.61,70,19.8 %,12535584,1.55 %,4079480606,11
Nigeria,1970,55982144,2.23 %,1170845,-8669,18.7,6.35,61,17.8 %,9942297,1.51 %,3700437046,11
Nigeria,1965,50127921,2.12 %,997893,204,19.0,6.35,55,16.6 %,8296771,1.50 %,3339583597,13
Nigeria,1960,45138458,1.90 %,810472,541,19.1,6.35,50,15.4 %,6955737,1.49 %,3034949748,13
Nigeria,1955,41086100,1.65 %,645270,674,19.1,6.35,45,12.1 %,4952844,1.48 %,2773019936,13
