country,Year,Population,Yearly %   Change,Yearly  Change,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Niue,2019,1615,-0.31 %,-5,6,45.9 %,741,0.00 %,7713468100,233
Niue,2018,1620,0.68 %,11,6,44.9 %,727,0.00 %,7631091040,233
Niue,2017,1609,-0.31 %,-5,6,44.3 %,713,0.00 %,7547858925,233
Niue,2016,1614,-0.31 %,-5,6,43.6 %,703,0 %,7464022049,233
Niue,2015,1619,0.01 %,0,6,42.8 %,693,0 %,7379797139,233
Niue,2010,1618,-0.78 %,-13,6,38.9 %,630,0 %,6956823603,233
Niue,2005,1683,-2.39 %,-43,6,35.2 %,593,0 %,6541907027,233
Niue,2000,1899,-2.59 %,-53,7,33.1 %,628,0 %,6143493823,233
Niue,1995,2165,-1.45 %,-33,8,31.5 %,681,0 %,5744212979,233
Niue,1990,2329,-3.05 %,-78,9,30.9 %,720,0 %,5327231061,232
Niue,1985,2719,-4.39 %,-137,10,31 %,844,0 %,4870921740,232
Niue,1980,3404,-3.06 %,-114,13,27 %,920,0 %,4458003514,231
Niue,1975,3976,-4.99 %,-232,15,23.4 %,929,0 %,4079480606,231
Niue,1970,5135,0.14 %,7,20,21.1 %,1083,0 %,3700437046,231
Niue,1965,5098,1.1 %,54,20,19.8 %,1009,0 %,3339583597,228
Niue,1960,4826,0.56 %,26,19,21.5 %,1038,0 %,3034949748,228
Niue,1955,4694,0.12 %,5,18,21.5 %,1009,0 %,2773019936,228
