country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Peru,2020,32971854,1.42 %,461401,99069,31.0,2.27,26,79.1 %,26082479,0.42 %,7794798739,43
Peru,2019,32510453,1.63 %,521193,99069,28.2,2.37,25,79.1 %,25721093,0.42 %,7713468100,43
Peru,2018,31989260,1.73 %,544962,99069,28.2,2.37,25,79.3 %,25360100,0.42 %,7631091040,43
Peru,2017,31444298,1.68 %,518266,99069,28.2,2.37,25,79.5 %,24999015,0.42 %,7547858925,43
Peru,2016,30926032,1.49 %,455298,99069,28.2,2.37,24,79.7 %,24637142,0.41 %,7464022049,43
Peru,2015,30470734,0.98 %,288612,-124962,27.5,2.40,24,79.7 %,24271929,0.41 %,7379797139,43
Peru,2010,29027674,0.82 %,232306,-240552,25.5,2.68,23,77.3 %,22450249,0.42 %,6956823603,41
Peru,2005,27866145,1.04 %,281240,-181956,24.1,2.72,22,74.3 %,20717275,0.43 %,6541907027,38
Peru,2000,26459944,1.72 %,432157,-51160,22.7,3.05,21,71.5 %,18928687,0.43 %,6143493823,38
Peru,1995,24299160,1.94 %,445545,-70920,21.2,3.62,19,70.2 %,17055649,0.42 %,5744212979,37
Peru,1990,22071433,2.22 %,459712,-56120,20.1,4.20,17,68.1 %,15038734,0.41 %,5327231061,38
Peru,1985,19772872,2.42 %,445052,-35100,19.2,4.73,15,66.1 %,13068523,0.41 %,4870921740,38
Peru,1980,17547610,2.61 %,424573,-18820,18.5,5.37,14,63.9 %,11209453,0.39 %,4458003514,38
Peru,1975,15424744,2.76 %,392990,-16520,17.9,6.03,12,60.7 %,9360547,0.38 %,4079480606,39
Peru,1970,13459794,2.82 %,349680,-9780,17.6,6.55,11,56.9 %,7658573,0.36 %,3700437046,39
Peru,1965,11711392,2.89 %,311275,-5860,17.7,6.88,9,51.4 %,6020628,0.35 %,3339583597,44
Peru,1960,10155015,2.77 %,259325,-3900,18.2,6.95,8,46.4 %,4709872,0.33 %,3034949748,40
Peru,1955,8858389,2.64 %,216189,-3100,18.7,6.95,7,43.5 %,3856003,0.32 %,2773019936,44
