country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Philippines,2020,109581078,1.35 %,1464463,-67152,25.7,2.58,368,47.5 %,52008603,1.41 %,7794798739,13
Philippines,2019,108116615,1.37 %,1465221,-67152,24.4,2.95,363,47.1 %,50971408,1.40 %,7713468100,13
Philippines,2018,106651394,1.41 %,1478469,-67152,24.4,2.95,358,46.8 %,49961978,1.40 %,7631091040,13
Philippines,2017,105172925,1.46 %,1509109,-67152,24.4,2.95,353,46.6 %,48978289,1.39 %,7547858925,13
Philippines,2016,103663816,1.52 %,1550604,-67152,24.4,2.95,348,46.3 %,48017889,1.39 %,7464022049,12
Philippines,2015,102113212,1.68 %,1629286,-166924,24.1,3.05,342,46.1 %,47078199,1.38 %,7379797139,12
Philippines,2010,93966780,1.71 %,1528106,-309615,23.1,3.30,315,45.2 %,42487934,1.35 %,6956823603,12
Philippines,2005,86326250,2.05 %,1666899,-248871,21.3,3.70,290,45.7 %,39435905,1.32 %,6541907027,12
Philippines,2000,77991755,2.25 %,1641533,-189869,20.5,3.90,262,46.1 %,35981065,1.27 %,6143493823,14
Philippines,1995,69784088,2.43 %,1577786,-139775,19.8,4.14,234,46.6 %,32515486,1.21 %,5744212979,14
Philippines,1990,61895160,2.66 %,1523868,-62935,19.2,4.53,208,47.0 %,29106432,1.16 %,5327231061,14
Philippines,1985,54275822,2.76 %,1383616,-58489,18.7,4.92,182,42.3 %,22943780,1.11 %,4870921740,17
Philippines,1980,47357743,2.78 %,1214400,-95312,18.0,5.46,159,37.5 %,17752900,1.06 %,4458003514,19
Philippines,1975,41285742,2.89 %,1096430,-75018,17.4,5.98,138,35.6 %,14684347,1.01 %,4079480606,19
Philippines,1970,35803594,2.98 %,978721,-94086,16.7,6.54,120,33.0 %,11807882,0.97 %,3700437046,19
Philippines,1965,30909988,3.31 %,928051,-43613,16.3,6.98,104,31.6 %,9770040,0.93 %,3339583597,23
Philippines,1960,26269734,3.45 %,818535,-30783,16.5,7.27,88,30.3 %,7959850,0.87 %,3034949748,23
Philippines,1955,22177058,3.60 %,719314,-9824,17.2,7.42,74,28.7 %,6365919,0.80 %,2773019936,23
