country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Qatar,2020,2881053,1.73 %,48986,40000,32.3,1.88,248,96.2 %,2770452,0.04 %,7794798739,139
Qatar,2019,2832067,1.81 %,50385,40000,31.6,1.98,244,96.1 %,2721608,0.04 %,7713468100,141
Qatar,2018,2781682,2.09 %,56954,40000,31.6,1.98,240,96.0 %,2671546,0.04 %,7631091040,142
Qatar,2017,2724728,2.65 %,70354,40000,31.6,1.98,235,96.0 %,2614873,0.04 %,7547858925,142
Qatar,2016,2654374,3.46 %,88664,40000,31.6,1.98,229,95.9 %,2544480,0.04 %,7464022049,142
Qatar,2015,2565710,6.69 %,141877,120970,31.5,2.00,221,95.7 %,2455353,0.03 %,7379797139,142
Qatar,2010,1856327,16.49 %,198182,182920,31.6,2.23,160,94.4 %,1752996,0.03 %,6956823603,148
Qatar,2005,865416,7.87 %,54590,42783,31.0,2.95,75,97.3 %,842340,0.01 %,6541907027,158
Qatar,2000,592468,2.90 %,15805,5901,30.5,3.46,51,96.3 %,570417,0.01 %,6143493823,164
Qatar,1995,513442,1.51 %,7433,-2026,29.0,3.74,44,95.0 %,487771,0.01 %,5744212979,164
Qatar,1990,476278,5.13 %,21078,11503,28.7,4.40,41,92.8 %,442074,0.01 %,5327231061,164
Qatar,1985,370890,10.65 %,29452,20419,26.9,5.45,32,90.1 %,334343,0.01 %,4870921740,164
Qatar,1980,223632,6.36 %,11862,5677,23.4,6.10,19,89.4 %,199973,0.01 %,4458003514,176
Qatar,1975,164320,8.45 %,10961,6874,23.2,6.75,14,89.0 %,146177,0.00 %,4079480606,177
Qatar,1970,109514,8.26 %,7176,4212,22.0,6.97,9,88.4 %,96760,0.00 %,3700437046,184
Qatar,1965,73633,9.22 %,5250,3279,20.5,6.97,6,87.1 %,64100,0.00 %,3339583597,201
Qatar,1960,47384,5.73 %,2304,911,19.4,6.97,4,85.3 %,40407,0.00 %,3034949748,197
Qatar,1955,35866,7.48 %,2173,1137,19.4,6.97,3,83.0 %,29779,0.00 %,2773019936,201
