country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Saint Lucia,2020,183627,0.46 %,837,0,34.5,1.44,301,18.6 %,34141,0.00 %,7794798739,189
Saint Lucia,2019,182790,0.50 %,901,0,32.8,1.49,300,18.5 %,33842,0.00 %,7713468100,189
Saint Lucia,2018,181889,0.52 %,935,0,32.8,1.49,298,18.4 %,33557,0.00 %,7631091040,189
Saint Lucia,2017,180954,0.52 %,930,0,32.8,1.49,297,18.4 %,33287,0.00 %,7547858925,189
Saint Lucia,2016,180024,0.50 %,898,0,32.8,1.49,295,18.4 %,33036,0.00 %,7464022049,189
Saint Lucia,2015,179126,0.57 %,1008,0,32.4,1.51,294,18.3 %,32809,0.00 %,7379797139,189
Saint Lucia,2010,174085,1.27 %,2134,872,30.3,1.60,285,18.3 %,31841,0.00 %,6956823603,189
Saint Lucia,2005,163417,0.84 %,1338,-161,26.1,1.85,268,23.1 %,37794,0.00 %,6541907027,188
Saint Lucia,2000,156729,1.31 %,1972,-308,24.2,2.60,257,27.8 %,43591,0.00 %,6143493823,187
Saint Lucia,1995,146870,1.25 %,1770,-1006,23.1,3.15,241,28.8 %,42297,0.00 %,5744212979,186
Saint Lucia,1990,138020,1.80 %,2355,-857,21.4,3.65,226,29.4 %,40557,0.00 %,5327231061,188
Saint Lucia,1985,126244,1.39 %,1684,-1602,18.9,4.20,207,28.0 %,35299,0.00 %,4870921740,188
Saint Lucia,1980,117822,1.45 %,1639,-1794,17.5,5.20,193,26.6 %,31313,0.00 %,4458003514,187
Saint Lucia,1975,109627,1.06 %,1122,-1941,16.5,5.69,180,25.2 %,27662,0.00 %,4079480606,186
Saint Lucia,1970,104015,1.59 %,1576,-1559,14.9,6.48,171,23.9 %,24901,0.00 %,3700437046,186
Saint Lucia,1965,96134,1.40 %,1287,-1837,16.4,6.79,158,22.7 %,21822,0.00 %,3339583597,178
Saint Lucia,1960,89697,0.73 %,644,-2506,17.7,6.94,147,21.5 %,19292,0.00 %,3034949748,182
Saint Lucia,1955,86477,0.88 %,739,-1746,20.1,6.00,142,20.3 %,17596,0.00 %,2773019936,178
